Assigned_group,number_medicinal_activities_in_region
ABT,50
AFG,148
AGE,84
AGS,0
AGW,27
ALA,77
ALB,120
ALD,30
ALG,128
ALT,43
ALU,1
AMU,67
AND,240
ANG,166
ARI,72
ARK,67
ARU,12
ASK,1
ASS,296
AUT,68
AZO,27
BAH,77
BAL,87
BAN,352
BEN,159
BER,18
BGM,68
BIS,133
BKN,142
BLR,67
BLT,50
BLZ,148
BOL,128
BOR,247
BOT,97
BRC,50
BRY,83
BUL,73
BUR,117
BZC,112
BZE,94
BZL,114
BZN,120
BZS,80
CAB,89
CAF,161
CAL,69
CAY,69
CBD,328
CHA,127
CHC,319
CHH,275
CHI,90
CHM,68
CHN,162
CHQ,69
CHS,325
CHT,119
CHX,46
CKI,63
CLC,0
CLM,163
CLN,0
CLS,0
CMN,161
CNT,72
CNY,60
COL,66
COM,57
CON,151
COO,10
COR,106
COS,153
CPI,5
CPP,96
CPV,76
CRL,44
CTA,82
CTM,0
CUB,102
CVI,69
CYP,97
CZE,68
DEL,59
DEN,49
DJI,81
DOM,101
EAI,112
ECU,142
EGY,71
EHM,304
ELS,147
EQG,65
ERI,106
ETH,167
FIJ,54
FIN,50
FLA,101
FOR,1
FRA,115
FRG,116
GAB,126
GAL,43
GAM,112
GEO,61
GER,68
GGI,124
GHA,158
GIL,37
GNB,150
GNL,2
GRB,45
GRC,141
GST,104
GUA,159
GUI,156
GUY,110
HAI,102
HON,146
HUN,68
ICE,24
IDA,41
ILL,87
IND,360
INI,67
IOW,69
IRE,43
IRK,39
IRN,142
IRQ,107
ITA,128
IVO,155
JAM,86
JAP,155
JAW,279
KAM,24
KAN,57
KAZ,47
KEN,196
KGZ,53
KHA,67
KOR,160
KRA,46
KRI,52
KRY,81
KTY,77
KUR,27
KUW,37
KZN,57
LAB,2
LAO,290
LBR,111
LBS,145
LBY,112
LDV,161
LEE,107
LES,37
LOU,71
LSI,203
MAG,0
MAI,72
MAN,61
MAS,72
MAU,56
MCI,8
MDG,121
MDR,25
MDV,124
MIC,80
MIN,83
MLI,137
MLW,175
MLY,311
MNT,53
MOL,170
MON,83
MOR,119
MOZ,177
MRN,22
MRQ,26
MRS,35
MRY,73
MSI,55
MSO,77
MTN,84
MXC,143
MXE,172
MXG,143
MXI,15
MXN,151
MXS,167
MXT,160
MYA,350
NAM,70
NAT,108
NBR,53
NCA,72
NCB,209
NCS,75
NDA,60
NEB,77
NEP,282
NET,68
NEV,56
NFK,2
NFL,45
NGA,159
NGR,114
NIC,148
NLA,52
NNS,162
NOR,50
NRU,25
NSC,60
NSW,36
NTA,161
NUE,27
NUN,1
NWC,57
NWG,178
NWH,73
NWJ,56
NWM,75
NWT,0
NWY,73
NZN,12
NZS,12
OFS,73
OGA,99
OHI,73
OKL,71
OMA,146
ONT,73
ORE,50
PAK,239
PAL,132
PAN,151
PAR,90
PEI,40
PEN,63
PER,132
PHI,234
PIT,24
POL,68
POR,99
PRM,89
PUE,101
QLD,168
QUE,73
REU,51
RHO,72
ROD,23
ROM,69
RUC,52
RUE,50
RUN,43
RUS,64
RUW,45
RWA,119
SAK,29
SAM,51
SAR,102
SAS,58
SAU,122
SCA,70
SCI,34
SCS,114
SCZ,70
SDA,70
SEL,25
SEN,148
SEY,47
SIC,124
SIE,129
SIN,59
SOA,11
SOC,78
SOL,120
SOM,127
SPA,113
SRL,302
SUD,192
SUL,207
SUM,239
SUR,100
SWC,74
SWE,50
SWI,69
SWZ,92
TAI,236
TAN,201
TAS,23
TCI,64
TCS,70
TEN,62
TEX,98
THA,340
TKM,42
TOG,119
TON,51
TRT,92
TUA,27
TUB,30
TUE,117
TUN,115
TUR,120
TVA,38
TVL,150
TZK,43
UGA,185
UKR,81
URU,17
UTA,69
UZB,54
VAN,58
VEN,151
VER,73
VIC,0
VIE,372
VNA,70
VRG,72
WAL,47
WAS,50
WAU,140
WDC,53
WHM,250
WIN,107
WIS,83
WSA,38
WSB,50
WVA,57
WYO,53
XMS,70
YAK,39
YEM,95
YUG,128
YUK,0
ZAI,209
ZAM,174
ZIM,169
