,accepted_species,Assigned_group,number_of_species_in_group
0,Hoodia gordonii,CPP,33
0,Hoodia gordonii,NAM,20
0,Hoodia gordonii,OFS,12
1,Rauvolfia semperflorens,NWC,49
2,Isertia pittieri,CLM,138
2,Isertia pittieri,ECU,90
3,Hoppea fastigiata,IND,142
3,Hoppea fastigiata,SRL,92
4,Rosenbergiodendron longiflorum,BOL,122
4,Rosenbergiodendron longiflorum,BZC,97
4,Rosenbergiodendron longiflorum,BZE,101
4,Rosenbergiodendron longiflorum,BZN,145
4,Rosenbergiodendron longiflorum,CLM,138
4,Rosenbergiodendron longiflorum,ECU,90
4,Rosenbergiodendron longiflorum,FRG,85
4,Rosenbergiodendron longiflorum,GUY,84
4,Rosenbergiodendron longiflorum,PER,121
4,Rosenbergiodendron longiflorum,SUR,77
4,Rosenbergiodendron longiflorum,VEN,116
5,Gentianopsis simplex,CAL,24
5,Gentianopsis simplex,IDA,15
5,Gentianopsis simplex,MNT,16
5,Gentianopsis simplex,NEV,20
5,Gentianopsis simplex,ORE,13
5,Gentianopsis simplex,WYO,15
6,Pauridiantha liebrechtsiana,CAF,95
6,Pauridiantha liebrechtsiana,CON,102
6,Pauridiantha liebrechtsiana,GAB,99
6,Pauridiantha liebrechtsiana,ZAI,136
7,Aidia canthioides,CHC,226
7,Aidia canthioides,CHH,84
7,Aidia canthioides,CHS,179
7,Aidia canthioides,NNS,47
7,Aidia canthioides,TAI,89
7,Aidia canthioides,VIE,201
8,Morinda elliptica,MLY,152
8,Morinda elliptica,MYA,174
8,Morinda elliptica,THA,205
9,Gentianella selaginifolia,CLM,138
9,Gentianella selaginifolia,ECU,90
10,Saprosma fragrans,ASS,118
11,Solenandra mexicana,BLZ,53
11,Solenandra mexicana,COS,84
11,Solenandra mexicana,ELS,42
11,Solenandra mexicana,GUA,67
11,Solenandra mexicana,HON,63
11,Solenandra mexicana,MXE,55
11,Solenandra mexicana,MXG,61
11,Solenandra mexicana,MXS,67
11,Solenandra mexicana,MXT,72
11,Solenandra mexicana,NIC,70
11,Solenandra mexicana,PAN,89
12,Nauclea diderrichii,BEN,73
12,Nauclea diderrichii,CAB,37
12,Nauclea diderrichii,CAF,95
12,Nauclea diderrichii,CMN,125
12,Nauclea diderrichii,CON,102
12,Nauclea diderrichii,EQG,31
12,Nauclea diderrichii,GAB,99
12,Nauclea diderrichii,GHA,85
12,Nauclea diderrichii,GUI,89
12,Nauclea diderrichii,IVO,93
12,Nauclea diderrichii,LBR,77
12,Nauclea diderrichii,NGA,116
12,Nauclea diderrichii,SIE,73
12,Nauclea diderrichii,TOG,51
12,Nauclea diderrichii,UGA,76
12,Nauclea diderrichii,ZAI,136
13,Palicourea padifolia,BLZ,53
13,Palicourea padifolia,CLM,138
13,Palicourea padifolia,COS,84
13,Palicourea padifolia,ELS,42
13,Palicourea padifolia,GUA,67
13,Palicourea padifolia,HON,63
13,Palicourea padifolia,MXC,44
13,Palicourea padifolia,MXE,55
13,Palicourea padifolia,MXG,61
13,Palicourea padifolia,MXS,67
13,Palicourea padifolia,MXT,72
13,Palicourea padifolia,NIC,70
13,Palicourea padifolia,PAN,89
14,Asclepias cordifolia,CAL,24
14,Asclepias cordifolia,NEV,20
14,Asclepias cordifolia,ORE,13
15,Dolichopentas longiflora,BUR,41
15,Dolichopentas longiflora,KEN,85
15,Dolichopentas longiflora,MLW,70
15,Dolichopentas longiflora,RWA,34
15,Dolichopentas longiflora,TAN,109
15,Dolichopentas longiflora,UGA,76
15,Dolichopentas longiflora,ZAI,136
16,Swertia swertopsis,JAP,66
17,Bathysa australis,BOL,122
17,Bathysa australis,BZC,97
17,Bathysa australis,BZE,101
17,Bathysa australis,BZL,109
17,Bathysa australis,BZS,55
18,Neolamarckia cadamba,AND,62
18,Neolamarckia cadamba,ASS,118
18,Neolamarckia cadamba,BAN,125
18,Neolamarckia cadamba,BOR,100
18,Neolamarckia cadamba,CBD,139
18,Neolamarckia cadamba,CHC,226
18,Neolamarckia cadamba,CHS,179
18,Neolamarckia cadamba,EHM,114
18,Neolamarckia cadamba,IND,142
18,Neolamarckia cadamba,JAW,102
18,Neolamarckia cadamba,LAO,120
18,Neolamarckia cadamba,LSI,50
18,Neolamarckia cadamba,MLY,152
18,Neolamarckia cadamba,MYA,174
18,Neolamarckia cadamba,NCB,44
18,Neolamarckia cadamba,NEP,108
18,Neolamarckia cadamba,NWG,69
18,Neolamarckia cadamba,SRL,92
18,Neolamarckia cadamba,SUL,63
18,Neolamarckia cadamba,SUM,99
18,Neolamarckia cadamba,THA,205
18,Neolamarckia cadamba,VIE,201
19,Tabernaemontana polyneura,MLY,152
20,Tabernaemontana glabra,BOL,122
20,Tabernaemontana glabra,CLM,138
20,Tabernaemontana glabra,COS,84
20,Tabernaemontana glabra,ECU,90
20,Tabernaemontana glabra,ELS,42
20,Tabernaemontana glabra,GUA,67
20,Tabernaemontana glabra,HON,63
20,Tabernaemontana glabra,MXC,44
20,Tabernaemontana glabra,MXE,55
20,Tabernaemontana glabra,MXG,61
20,Tabernaemontana glabra,MXN,37
20,Tabernaemontana glabra,MXS,67
20,Tabernaemontana glabra,MXT,72
