,accepted_species,Assigned_group,number_of_species_in_group
2,Acokanthera oppositifolia,CPP,12
2,Acokanthera oppositifolia,KEN,31
2,Acokanthera oppositifolia,MLW,25
2,Acokanthera oppositifolia,MOZ,28
2,Acokanthera oppositifolia,NAT,15
2,Acokanthera oppositifolia,SWZ,13
2,Acokanthera oppositifolia,TAN,38
2,Acokanthera oppositifolia,TVL,20
2,Acokanthera oppositifolia,ZAI,47
2,Acokanthera oppositifolia,ZAM,23
2,Acokanthera oppositifolia,ZIM,20
3,Acokanthera schimperi,DJI,8
3,Acokanthera schimperi,ERI,11
3,Acokanthera schimperi,ETH,22
3,Acokanthera schimperi,KEN,31
3,Acokanthera schimperi,RWA,15
3,Acokanthera schimperi,SOC,8
3,Acokanthera schimperi,SOM,16
3,Acokanthera schimperi,TAN,38
3,Acokanthera schimperi,UGA,32
3,Acokanthera schimperi,YEM,12
3,Acokanthera schimperi,ZAI,47
5,Adenium obesum,BEN,35
5,Adenium obesum,BKN,24
5,Adenium obesum,BUR,15
5,Adenium obesum,CHA,21
5,Adenium obesum,CMN,41
5,Adenium obesum,ETH,22
5,Adenium obesum,GHA,35
5,Adenium obesum,GNB,26
5,Adenium obesum,GUI,37
5,Adenium obesum,IVO,36
5,Adenium obesum,KEN,31
5,Adenium obesum,MLI,21
5,Adenium obesum,MTN,9
5,Adenium obesum,NGA,42
5,Adenium obesum,NGR,11
5,Adenium obesum,OMA,12
5,Adenium obesum,SAU,13
5,Adenium obesum,SEN,26
5,Adenium obesum,SOC,8
5,Adenium obesum,SOM,16
5,Adenium obesum,SUD,30
5,Adenium obesum,TAN,38
5,Adenium obesum,TOG,26
5,Adenium obesum,UGA,32
5,Adenium obesum,YEM,12
6,Adina cordifolia,ASS,57
6,Adina cordifolia,BAN,81
6,Adina cordifolia,CBD,79
6,Adina cordifolia,CHC,72
6,Adina cordifolia,CHS,69
6,Adina cordifolia,EHM,46
6,Adina cordifolia,IND,78
6,Adina cordifolia,LAO,62
6,Adina cordifolia,MLY,80
6,Adina cordifolia,MYA,88
6,Adina cordifolia,NEP,41
6,Adina cordifolia,SRL,61
6,Adina cordifolia,THA,98
6,Adina cordifolia,VIE,99
8,Adina pilulifera,CHC,72
8,Adina pilulifera,CHH,38
8,Adina pilulifera,CHS,69
8,Adina pilulifera,JAP,19
8,Adina pilulifera,VIE,99
10,Adina rubella,CHN,17
10,Adina rubella,CHS,69
10,Adina rubella,KOR,18
11,Adina trichotoma,ASS,57
11,Adina trichotoma,BAN,81
11,Adina trichotoma,BOR,57
11,Adina trichotoma,CBD,79
11,Adina trichotoma,CHC,72
11,Adina trichotoma,CHS,69
11,Adina trichotoma,JAW,60
11,Adina trichotoma,LAO,62
11,Adina trichotoma,MLY,80
11,Adina trichotoma,MOL,28
11,Adina trichotoma,MYA,88
11,Adina trichotoma,NWG,36
11,Adina trichotoma,PHI,48
11,Adina trichotoma,SUL,37
11,Adina trichotoma,SUM,54
11,Adina trichotoma,THA,98
11,Adina trichotoma,VIE,99
18,Allamanda blanchetii,BZE,33
19,Allamanda cathartica,BOL,41
19,Allamanda cathartica,BZC,31
19,Allamanda cathartica,BZE,33
19,Allamanda cathartica,BZL,34
19,Allamanda cathartica,BZN,43
19,Allamanda cathartica,BZS,16
19,Allamanda cathartica,CLM,47
19,Allamanda cathartica,COS,35
19,Allamanda cathartica,FRG,29
19,Allamanda cathartica,GUY,32
19,Allamanda cathartica,HON,26
19,Allamanda cathartica,NIC,31
19,Allamanda cathartica,PAN,35
19,Allamanda cathartica,PER,43
19,Allamanda cathartica,SUR,26
19,Allamanda cathartica,VEN,41
22,Alstonia angustifolia,BOR,57
22,Alstonia angustifolia,MLY,80
22,Alstonia angustifolia,SUM,54
27,Alstonia congensis,BEN,35
27,Alstonia congensis,BKN,24
27,Alstonia congensis,CAB,20
27,Alstonia congensis,CAF,37
27,Alstonia congensis,CMN,41
27,Alstonia congensis,CON,35
27,Alstonia congensis,EQG,15
27,Alstonia congensis,GAB,32
27,Alstonia congensis,GNB,26
27,Alstonia congensis,GUI,37
27,Alstonia congensis,LBR,27
27,Alstonia congensis,NGA,42
27,Alstonia congensis,ZAI,47
28,Alstonia constricta,NSW,6
28,Alstonia constricta,QLD,26
30,Alstonia costata,COO,2
30,Alstonia costata,FIJ,10
30,Alstonia costata,MRQ,3
30,Alstonia costata,NWC,10
30,Alstonia costata,SAM,8
30,Alstonia costata,SCI,5
30,Alstonia costata,SCZ,4
30,Alstonia costata,SOL,17
30,Alstonia costata,TON,8
30,Alstonia costata,VAN,12
37,Alstonia macrophylla,AND,44
37,Alstonia macrophylla,BOR,57
37,Alstonia macrophylla,CBD,79
37,Alstonia macrophylla,CHC,72
37,Alstonia macrophylla,CHS,69
37,Alstonia macrophylla,MLY,80
37,Alstonia macrophylla,MOL,28
37,Alstonia macrophylla,NCB,34
37,Alstonia macrophylla,NWG,36
37,Alstonia macrophylla,PHI,48
37,Alstonia macrophylla,SRL,61
37,Alstonia macrophylla,SUM,54
37,Alstonia macrophylla,THA,98
37,Alstonia macrophylla,VIE,99
45,Alstonia scholaris,AND,44
45,Alstonia scholaris,ASS,57
45,Alstonia scholaris,BAN,81
45,Alstonia scholaris,BIS,13
45,Alstonia scholaris,BOR,57
45,Alstonia scholaris,CBD,79
45,Alstonia scholaris,CHC,72
45,Alstonia scholaris,CHS,69
45,Alstonia scholaris,EHM,46
45,Alstonia scholaris,IND,78
45,Alstonia scholaris,JAW,60
45,Alstonia scholaris,LAO,62
45,Alstonia scholaris,LDV,11
45,Alstonia scholaris,LSI,32
45,Alstonia scholaris,MLY,80
45,Alstonia scholaris,MOL,28
45,Alstonia scholaris,MYA,88
45,Alstonia scholaris,NCB,34
45,Alstonia scholaris,NEP,41
45,Alstonia scholaris,NTA,20
45,Alstonia scholaris,NWG,36
45,Alstonia scholaris,PAK,24
45,Alstonia scholaris,PHI,48
45,Alstonia scholaris,QLD,26
45,Alstonia scholaris,SOL,17
45,Alstonia scholaris,SRL,61
45,Alstonia scholaris,SUL,37
45,Alstonia scholaris,SUM,54
45,Alstonia scholaris,THA,98
45,Alstonia scholaris,VIE,99
45,Alstonia scholaris,WAU,12
45,Alstonia scholaris,WHM,30
46,Alstonia spatulata,BOR,57
46,Alstonia spatulata,CBD,79
46,Alstonia spatulata,JAW,60
46,Alstonia spatulata,MLY,80
46,Alstonia spatulata,MYA,88
46,Alstonia spatulata,NWG,36
46,Alstonia spatulata,SUM,54
46,Alstonia spatulata,THA,98
46,Alstonia spatulata,VIE,99
52,Alyxia reinwardtii,AND,44
52,Alyxia reinwardtii,BAN,81
52,Alyxia reinwardtii,BOR,57
52,Alyxia reinwardtii,CBD,79
52,Alyxia reinwardtii,CHC,72
52,Alyxia reinwardtii,JAW,60
52,Alyxia reinwardtii,LAO,62
52,Alyxia reinwardtii,LSI,32
52,Alyxia reinwardtii,MLY,80
52,Alyxia reinwardtii,MYA,88
52,Alyxia reinwardtii,NCB,34
52,Alyxia reinwardtii,PHI,48
52,Alyxia reinwardtii,SUM,54
52,Alyxia reinwardtii,THA,98
52,Alyxia reinwardtii,VIE,99
69,Antonia ovata,BOL,41
69,Antonia ovata,BZC,31
69,Antonia ovata,BZE,33
69,Antonia ovata,BZL,34
69,Antonia ovata,BZN,43
69,Antonia ovata,CLM,47
69,Antonia ovata,FRG,29
69,Antonia ovata,GUY,32
69,Antonia ovata,PER,43
69,Antonia ovata,SUR,26
69,Antonia ovata,VEN,41
70,Apocynum androsaemifolium,ABT,4
70,Apocynum androsaemifolium,ALA,10
70,Apocynum androsaemifolium,ARI,11
70,Apocynum androsaemifolium,ARK,8
70,Apocynum androsaemifolium,BRC,4
70,Apocynum androsaemifolium,CAL,11
70,Apocynum androsaemifolium,CNT,8
70,Apocynum androsaemifolium,COL,7
70,Apocynum androsaemifolium,DEL,5
70,Apocynum androsaemifolium,IDA,4
70,Apocynum androsaemifolium,ILL,11
70,Apocynum androsaemifolium,INI,8
70,Apocynum androsaemifolium,IOW,6
70,Apocynum androsaemifolium,KTY,9
70,Apocynum androsaemifolium,MAI,8
70,Apocynum androsaemifolium,MAN,6
70,Apocynum androsaemifolium,MAS,8
70,Apocynum androsaemifolium,MIC,9
70,Apocynum androsaemifolium,MIN,9
70,Apocynum androsaemifolium,MNT,5
70,Apocynum androsaemifolium,MRY,8
70,Apocynum androsaemifolium,MSO,9
70,Apocynum androsaemifolium,MXE,31
70,Apocynum androsaemifolium,NBR,5
70,Apocynum androsaemifolium,NCA,8
70,Apocynum androsaemifolium,NDA,5
70,Apocynum androsaemifolium,NEB,9
70,Apocynum androsaemifolium,NEV,5
70,Apocynum androsaemifolium,NFL,5
70,Apocynum androsaemifolium,NSC,6
70,Apocynum androsaemifolium,NWH,9
70,Apocynum androsaemifolium,NWJ,7
70,Apocynum androsaemifolium,NWM,11
70,Apocynum androsaemifolium,NWY,9
70,Apocynum androsaemifolium,OHI,8
70,Apocynum androsaemifolium,ONT,9
70,Apocynum androsaemifolium,ORE,4
70,Apocynum androsaemifolium,PEI,4
70,Apocynum androsaemifolium,PEN,7
70,Apocynum androsaemifolium,QUE,9
70,Apocynum androsaemifolium,RHO,8
70,Apocynum androsaemifolium,SAS,4
70,Apocynum androsaemifolium,SDA,8
70,Apocynum androsaemifolium,TEX,16
70,Apocynum androsaemifolium,UTA,7
70,Apocynum androsaemifolium,VER,9
70,Apocynum androsaemifolium,VRG,8
70,Apocynum androsaemifolium,WAS,4
70,Apocynum androsaemifolium,WIS,10
70,Apocynum androsaemifolium,WYO,4
71,Apocynum cannabinum,ABT,4
71,Apocynum cannabinum,ALA,10
71,Apocynum cannabinum,ARI,11
71,Apocynum cannabinum,ARK,8
71,Apocynum cannabinum,BRC,4
71,Apocynum cannabinum,CAL,11
71,Apocynum cannabinum,CNT,8
71,Apocynum cannabinum,COL,7
71,Apocynum cannabinum,DEL,5
71,Apocynum cannabinum,FLA,17
71,Apocynum cannabinum,GEO,7
71,Apocynum cannabinum,ILL,11
71,Apocynum cannabinum,INI,8
71,Apocynum cannabinum,IOW,6
71,Apocynum cannabinum,KTY,9
71,Apocynum cannabinum,LOU,9
71,Apocynum cannabinum,MAI,8
71,Apocynum cannabinum,MAN,6
71,Apocynum cannabinum,MAS,8
71,Apocynum cannabinum,MIC,9
71,Apocynum cannabinum,MIN,9
71,Apocynum cannabinum,MRY,8
71,Apocynum cannabinum,MSI,5
71,Apocynum cannabinum,MSO,9
71,Apocynum cannabinum,MXN,24
71,Apocynum cannabinum,NBR,5
71,Apocynum cannabinum,NCA,8
71,Apocynum cannabinum,NDA,5
71,Apocynum cannabinum,NEB,9
71,Apocynum cannabinum,NEV,5
71,Apocynum cannabinum,NFL,5
71,Apocynum cannabinum,NSC,6
71,Apocynum cannabinum,NWH,9
71,Apocynum cannabinum,NWM,11
71,Apocynum cannabinum,NWY,9
71,Apocynum cannabinum,OHI,8
71,Apocynum cannabinum,OKL,8
71,Apocynum cannabinum,ONT,9
71,Apocynum cannabinum,ORE,4
71,Apocynum cannabinum,PEN,7
71,Apocynum cannabinum,QUE,9
71,Apocynum cannabinum,RHO,8
71,Apocynum cannabinum,SAS,4
71,Apocynum cannabinum,SCA,8
71,Apocynum cannabinum,SDA,8
71,Apocynum cannabinum,TEX,16
71,Apocynum cannabinum,UTA,7
71,Apocynum cannabinum,VER,9
71,Apocynum cannabinum,VRG,8
71,Apocynum cannabinum,WAS,4
71,Apocynum cannabinum,WDC,4
71,Apocynum cannabinum,WIS,10
71,Apocynum cannabinum,WVA,6
71,Apocynum cannabinum,WYO,4
73,Apocynum venetum,AFG,10
73,Apocynum venetum,ALT,7
73,Apocynum venetum,BRY,7
73,Apocynum venetum,BUL,13
73,Apocynum venetum,CHI,9
73,Apocynum venetum,CHM,8
73,Apocynum venetum,CHN,17
73,Apocynum venetum,CHQ,6
73,Apocynum venetum,CHS,69
73,Apocynum venetum,CHT,14
73,Apocynum venetum,CHX,6
73,Apocynum venetum,CYP,5
73,Apocynum venetum,IRN,14
73,Apocynum venetum,IRQ,9
73,Apocynum venetum,ITA,16
73,Apocynum venetum,JAP,19
73,Apocynum venetum,KAZ,6
73,Apocynum venetum,KGZ,5
73,Apocynum venetum,KOR,18
73,Apocynum venetum,KRA,7
73,Apocynum venetum,KRY,12
73,Apocynum venetum,MON,6
73,Apocynum venetum,NCS,12
73,Apocynum venetum,PAK,24
73,Apocynum venetum,PAL,13
73,Apocynum venetum,RUC,10
73,Apocynum venetum,RUE,8
73,Apocynum venetum,RUS,10
73,Apocynum venetum,TCS,11
73,Apocynum venetum,TKM,6
73,Apocynum venetum,TUE,13
73,Apocynum venetum,TUR,14
73,Apocynum venetum,TZK,4
73,Apocynum venetum,UKR,12
73,Apocynum venetum,UZB,6
73,Apocynum venetum,WSB,9
75,Araujia sericifera,AGE,14
75,Araujia sericifera,BZL,34
75,Araujia sericifera,BZS,16
75,Araujia sericifera,PAR,23
75,Araujia sericifera,URU,6
77,Asclepias albicans,ARI,11
77,Asclepias albicans,CAL,11
77,Asclepias albicans,MXN,24
80,Asclepias curassavica,BAH,11
80,Asclepias curassavica,BLZ,26
80,Asclepias curassavica,BOL,41
80,Asclepias curassavica,BZC,31
80,Asclepias curassavica,BZE,33
80,Asclepias curassavica,BZL,34
80,Asclepias curassavica,BZN,43
80,Asclepias curassavica,BZS,16
80,Asclepias curassavica,CAY,10
80,Asclepias curassavica,CLM,47
80,Asclepias curassavica,COS,35
80,Asclepias curassavica,CUB,24
80,Asclepias curassavica,DOM,20
80,Asclepias curassavica,ECU,34
80,Asclepias curassavica,ELS,24
80,Asclepias curassavica,FRG,29
80,Asclepias curassavica,GAL,2
80,Asclepias curassavica,GUA,32
80,Asclepias curassavica,GUY,32
80,Asclepias curassavica,HAI,20
80,Asclepias curassavica,HON,26
80,Asclepias curassavica,JAM,14
80,Asclepias curassavica,LEE,17
80,Asclepias curassavica,MXC,26
80,Asclepias curassavica,MXE,31
80,Asclepias curassavica,MXG,31
80,Asclepias curassavica,MXN,24
80,Asclepias curassavica,MXS,35
80,Asclepias curassavica,MXT,34
80,Asclepias curassavica,NIC,31
80,Asclepias curassavica,NLA,5
80,Asclepias curassavica,PAN,35
80,Asclepias curassavica,PER,43
80,Asclepias curassavica,PUE,15
80,Asclepias curassavica,SUR,26
80,Asclepias curassavica,SWC,10
80,Asclepias curassavica,TCI,7
80,Asclepias curassavica,TRT,20
80,Asclepias curassavica,VEN,41
80,Asclepias curassavica,VNA,11
80,Asclepias curassavica,WIN,16
82,Asclepias eriocarpa,CAL,11
82,Asclepias eriocarpa,MXN,24
83,Asclepias glaucescens,COS,35
83,Asclepias glaucescens,ELS,24
83,Asclepias glaucescens,GUA,32
83,Asclepias glaucescens,MXC,26
83,Asclepias glaucescens,MXE,31
83,Asclepias glaucescens,MXG,31
83,Asclepias glaucescens,MXN,24
83,Asclepias glaucescens,MXS,35
83,Asclepias glaucescens,MXT,34
83,Asclepias glaucescens,NIC,31
83,Asclepias glaucescens,NWM,11
83,Asclepias glaucescens,TEX,16
85,Asclepias incarnata,ALA,10
85,Asclepias incarnata,ARK,8
85,Asclepias incarnata,CNT,8
85,Asclepias incarnata,COL,7
85,Asclepias incarnata,DEL,5
85,Asclepias incarnata,FLA,17
85,Asclepias incarnata,GEO,7
85,Asclepias incarnata,IDA,4
85,Asclepias incarnata,ILL,11
85,Asclepias incarnata,INI,8
85,Asclepias incarnata,IOW,6
85,Asclepias incarnata,KAN,6
85,Asclepias incarnata,KTY,9
85,Asclepias incarnata,LOU,9
85,Asclepias incarnata,MAI,8
85,Asclepias incarnata,MAN,6
85,Asclepias incarnata,MAS,8
85,Asclepias incarnata,MIC,9
85,Asclepias incarnata,MIN,9
85,Asclepias incarnata,MNT,5
85,Asclepias incarnata,MRY,8
85,Asclepias incarnata,MSO,9
85,Asclepias incarnata,MXE,31
85,Asclepias incarnata,NBR,5
85,Asclepias incarnata,NCA,8
85,Asclepias incarnata,NDA,5
85,Asclepias incarnata,NEB,9
85,Asclepias incarnata,NEV,5
85,Asclepias incarnata,NSC,6
85,Asclepias incarnata,NWH,9
85,Asclepias incarnata,NWJ,7
85,Asclepias incarnata,NWM,11
85,Asclepias incarnata,NWY,9
85,Asclepias incarnata,OHI,8
85,Asclepias incarnata,OKL,8
85,Asclepias incarnata,ONT,9
85,Asclepias incarnata,PEI,4
85,Asclepias incarnata,PEN,7
85,Asclepias incarnata,QUE,9
85,Asclepias incarnata,RHO,8
85,Asclepias incarnata,SCA,8
85,Asclepias incarnata,SDA,8
85,Asclepias incarnata,TEN,8
85,Asclepias incarnata,TEX,16
85,Asclepias incarnata,UTA,7
85,Asclepias incarnata,VER,9
85,Asclepias incarnata,VRG,8
85,Asclepias incarnata,WDC,4
85,Asclepias incarnata,WIS,10
85,Asclepias incarnata,WVA,6
85,Asclepias incarnata,WYO,4
87,Asclepias latifolia,ARI,11
87,Asclepias latifolia,CAL,11
87,Asclepias latifolia,COL,7
87,Asclepias latifolia,KAN,6
87,Asclepias latifolia,MXE,31
87,Asclepias latifolia,NEB,9
87,Asclepias latifolia,NWM,11
87,Asclepias latifolia,OKL,8
87,Asclepias latifolia,SDA,8
87,Asclepias latifolia,TEX,16
87,Asclepias latifolia,UTA,7
88,Asclepias linaria,ARI,11
88,Asclepias linaria,CAL,11
88,Asclepias linaria,MXC,26
88,Asclepias linaria,MXE,31
88,Asclepias linaria,MXG,31
88,Asclepias linaria,MXN,24
88,Asclepias linaria,MXS,35
88,Asclepias linaria,MXT,34
88,Asclepias linaria,NWM,11
91,Asclepias speciosa,ABT,4
91,Asclepias speciosa,ARI,11
91,Asclepias speciosa,BRC,4
91,Asclepias speciosa,CAL,11
91,Asclepias speciosa,COL,7
91,Asclepias speciosa,IDA,4
91,Asclepias speciosa,ILL,11
91,Asclepias speciosa,IOW,6
91,Asclepias speciosa,KAN,6
91,Asclepias speciosa,MAN,6
91,Asclepias speciosa,MIC,9
91,Asclepias speciosa,MIN,9
91,Asclepias speciosa,MNT,5
91,Asclepias speciosa,NDA,5
91,Asclepias speciosa,NEB,9
91,Asclepias speciosa,NEV,5
91,Asclepias speciosa,NWM,11
91,Asclepias speciosa,OKL,8
91,Asclepias speciosa,ORE,4
91,Asclepias speciosa,SAS,4
91,Asclepias speciosa,SDA,8
91,Asclepias speciosa,TEX,16
91,Asclepias speciosa,UTA,7
91,Asclepias speciosa,WAS,4
91,Asclepias speciosa,WIS,10
91,Asclepias speciosa,WYO,4
92,Asclepias subulata,ARI,11
92,Asclepias subulata,CAL,11
92,Asclepias subulata,MXN,24
92,Asclepias subulata,NEV,5
93,Asclepias syriaca,ALA,10
93,Asclepias syriaca,ARK,8
93,Asclepias syriaca,CNT,8
93,Asclepias syriaca,DEL,5
93,Asclepias syriaca,GEO,7
93,Asclepias syriaca,ILL,11
93,Asclepias syriaca,INI,8
93,Asclepias syriaca,IOW,6
93,Asclepias syriaca,KAN,6
93,Asclepias syriaca,KTY,9
93,Asclepias syriaca,LOU,9
93,Asclepias syriaca,MAI,8
93,Asclepias syriaca,MAN,6
93,Asclepias syriaca,MAS,8
93,Asclepias syriaca,MIC,9
93,Asclepias syriaca,MIN,9
93,Asclepias syriaca,MNT,5
93,Asclepias syriaca,MRY,8
93,Asclepias syriaca,MSI,5
93,Asclepias syriaca,MSO,9
93,Asclepias syriaca,NBR,5
93,Asclepias syriaca,NCA,8
93,Asclepias syriaca,NDA,5
93,Asclepias syriaca,NEB,9
93,Asclepias syriaca,NSC,6
93,Asclepias syriaca,NWH,9
93,Asclepias syriaca,NWJ,7
93,Asclepias syriaca,NWY,9
93,Asclepias syriaca,OHI,8
93,Asclepias syriaca,OKL,8
93,Asclepias syriaca,ONT,9
93,Asclepias syriaca,PEI,4
93,Asclepias syriaca,PEN,7
93,Asclepias syriaca,QUE,9
93,Asclepias syriaca,RHO,8
93,Asclepias syriaca,SAS,4
93,Asclepias syriaca,SCA,8
93,Asclepias syriaca,SDA,8
93,Asclepias syriaca,TEN,8
93,Asclepias syriaca,TEX,16
93,Asclepias syriaca,VER,9
93,Asclepias syriaca,VRG,8
93,Asclepias syriaca,WDC,4
93,Asclepias syriaca,WIS,10
93,Asclepias syriaca,WVA,6
94,Asclepias tuberosa,ALA,10
94,Asclepias tuberosa,ARI,11
94,Asclepias tuberosa,ARK,8
94,Asclepias tuberosa,CAL,11
94,Asclepias tuberosa,CNT,8
94,Asclepias tuberosa,COL,7
94,Asclepias tuberosa,DEL,5
94,Asclepias tuberosa,FLA,17
94,Asclepias tuberosa,GEO,7
94,Asclepias tuberosa,ILL,11
94,Asclepias tuberosa,INI,8
94,Asclepias tuberosa,IOW,6
94,Asclepias tuberosa,KAN,6
94,Asclepias tuberosa,KTY,9
94,Asclepias tuberosa,LOU,9
94,Asclepias tuberosa,MAI,8
94,Asclepias tuberosa,MAS,8
94,Asclepias tuberosa,MIC,9
94,Asclepias tuberosa,MIN,9
94,Asclepias tuberosa,MRY,8
94,Asclepias tuberosa,MSI,5
94,Asclepias tuberosa,MSO,9
94,Asclepias tuberosa,MXE,31
94,Asclepias tuberosa,MXN,24
94,Asclepias tuberosa,NCA,8
94,Asclepias tuberosa,NEB,9
94,Asclepias tuberosa,NWH,9
94,Asclepias tuberosa,NWJ,7
94,Asclepias tuberosa,NWM,11
94,Asclepias tuberosa,NWY,9
94,Asclepias tuberosa,OHI,8
94,Asclepias tuberosa,OKL,8
94,Asclepias tuberosa,ONT,9
94,Asclepias tuberosa,PEN,7
94,Asclepias tuberosa,QUE,9
94,Asclepias tuberosa,RHO,8
94,Asclepias tuberosa,SCA,8
94,Asclepias tuberosa,SDA,8
94,Asclepias tuberosa,TEN,8
94,Asclepias tuberosa,TEX,16
94,Asclepias tuberosa,UTA,7
94,Asclepias tuberosa,VER,9
94,Asclepias tuberosa,VRG,8
94,Asclepias tuberosa,WDC,4
94,Asclepias tuberosa,WIS,10
94,Asclepias tuberosa,WVA,6
96,Asclepias viridis,ALA,10
96,Asclepias viridis,ARK,8
96,Asclepias viridis,FLA,17
96,Asclepias viridis,GEO,7
96,Asclepias viridis,ILL,11
96,Asclepias viridis,INI,8
96,Asclepias viridis,KAN,6
96,Asclepias viridis,KTY,9
96,Asclepias viridis,LOU,9
96,Asclepias viridis,MSI,5
96,Asclepias viridis,MSO,9
96,Asclepias viridis,NEB,9
96,Asclepias viridis,OHI,8
96,Asclepias viridis,OKL,8
96,Asclepias viridis,SCA,8
96,Asclepias viridis,TEN,8
96,Asclepias viridis,TEX,16
96,Asclepias viridis,WVA,6
102,Aspidosperma cuspa,BOL,41
102,Aspidosperma cuspa,BZC,31
102,Aspidosperma cuspa,BZE,33
102,Aspidosperma cuspa,BZL,34
102,Aspidosperma cuspa,BZN,43
102,Aspidosperma cuspa,CLM,47
102,Aspidosperma cuspa,DOM,20
102,Aspidosperma cuspa,ECU,34
102,Aspidosperma cuspa,HAI,20
102,Aspidosperma cuspa,PAN,35
102,Aspidosperma cuspa,PAR,23
102,Aspidosperma cuspa,PER,43
102,Aspidosperma cuspa,TRT,20
102,Aspidosperma cuspa,VEN,41
102,Aspidosperma cuspa,VNA,11
105,Aspidosperma discolor,BZC,31
105,Aspidosperma discolor,BZE,33
105,Aspidosperma discolor,BZL,34
105,Aspidosperma discolor,BZN,43
108,Aspidosperma excelsum,BOL,41
108,Aspidosperma excelsum,BZN,43
108,Aspidosperma excelsum,CLM,47
108,Aspidosperma excelsum,COS,35
108,Aspidosperma excelsum,FRG,29
108,Aspidosperma excelsum,GUY,32
108,Aspidosperma excelsum,PAN,35
108,Aspidosperma excelsum,PER,43
108,Aspidosperma excelsum,SUR,26
108,Aspidosperma excelsum,VEN,41
124,Aspidosperma quebracho-blanco,AGE,14
124,Aspidosperma quebracho-blanco,AGW,4
124,Aspidosperma quebracho-blanco,BOL,41
124,Aspidosperma quebracho-blanco,BZC,31
124,Aspidosperma quebracho-blanco,PAR,23
