"","Group","phylogenetic_diversity","group_age","number_of_species_in_data_and_tree"
"18",18,1494.4937785,67.727863,91
"22",22,2392.1242275,67.727863,170
"23",23,2657.247971,67.727863,208
"29",29,2128.7386265,67.727863,157
"31",31,2041.1814465,67.727863,141
"55",55,2514.9715635,67.727863,183
"77",77,1574.2913975,67.727863,104
"106",106,2628.575089,67.727863,178
"114",114,2020.1986015,67.727863,121
"115",115,1393.951335,67.727863,74
"126",126,1640.9470545,67.727863,102
"131",131,2868.197535,67.727863,221
"132",132,2301.629279,67.727863,159
"135",135,2152.6532455,67.727863,155
"142",142,2410.575575,67.727863,204
"146",146,909.675967,67.727863,38
"148",148,2146.948014,67.727863,145
"149",149,2479.057077,67.727863,206
"159",159,1591.0038135,67.727863,93
"163",163,2491.813201,67.727863,183
"164",164,1194.5077415,67.727863,67
"173",173,2117.302852,67.727863,171
"190",190,2316.541087,67.727863,171
"193",193,2525.2131055,67.727863,189
"200",200,2025.9504115,67.727863,137
"204",204,2225.198156,67.727863,162
"205",205,1722.3844695,67.727863,119
"229",229,863.372453,67.727863,43
"257",257,2742.4348115,67.727863,219
"258",258,2719.22411,67.727863,208
"275",275,1740.123241,67.727863,121
"287",287,1196.08049,67.727863,75
"296",296,2576.615495,67.727863,200
"306",306,1551.2492505,67.727863,96
"309",309,1105.988458,67.727863,60
"321",321,1805.8477225,67.727863,114
"323",323,2185.0406385,67.727863,151
"324",324,2148.7667465,67.727863,146
"331",331,1870.526326,67.727863,119
"347",347,2504.7302175,67.727863,186
"9",9,2288.965518,67.727863,176
"42",42,1724.464511,67.727863,114
"44",44,2510.6615485,67.727863,185
"82",82,2476.3649985,67.727863,196
"154",154,2824.8396735,67.727863,219
"165",165,2309.3183445,67.727863,187
"196",196,2280.309671,67.727863,204
"202",202,2654.8010515,67.727863,214
"210",210,2262.8674285,67.727863,161
"212",212,2675.675643,67.727863,203
"226",226,2194.985028,67.727863,176
"230",230,1700.8507545,67.727863,105
"231",231,1991.2302965,67.727863,139
"235",235,2003.5853915,67.727863,155
"268",268,2103.210711,67.727863,167
"290",290,2656.1833875,67.727863,224
"329",329,2491.2090025,67.727863,180
"338",338,2646.952301,67.727863,199
"348",348,2123.01173,67.727863,153
"21",21,1660.7525575,67.727863,107
"34",34,1561.221391,67.727863,104
"43",43,2634.663065,67.727863,223
"64",64,1537.529352,67.727863,92
"81",81,2412.6948025,67.727863,191
"92",92,2538.2348415,67.727863,185
"110",110,2186.3386175,67.727863,196
"119",119,1180.859889,67.727863,58
"141",141,2155.1627775,67.727863,151
"169",169,1993.4361785,67.727863,152
"187",187,2413.5988,67.727863,178
"217",217,1893.9871515,67.727863,120
"277",277,1731.8436535,67.727863,105
"294",294,2347.1160895,67.727863,180
"316",316,1678.1285275,67.727863,115
"340",340,1838.0528005,67.727863,136
"2",2,1174.722607,67.727863,60
"8",8,2401.3888355,67.727863,188
"30",30,2538.58138,67.727863,190
"41",41,1621.5841425,67.727863,92
"45",45,857.390527,67.727863,42
"53",53,2564.237852,67.727863,186
"57",57,1361.25181,67.727863,82
"84",84,2488.641742,67.727863,188
"90",90,887.962321,67.727863,39
"103",103,2284.7154695,67.727863,171
"150",150,1615.8774705,67.727863,105
"177",177,2476.0529385,67.727863,202
"214",214,1089.162114,67.727863,51
"246",246,2179.416422,67.727863,149
"248",248,2714.031603,67.727863,224
"249",249,1781.919327,67.727863,121
"252",252,1980.51392,67.727863,139
"253",253,2121.3283915,67.727863,174
"259",259,2021.0080395,67.727863,124
"286",286,814.0879475,67.727863,27
"301",301,1282.9156755,67.727863,83
"314",314,1439.7119825,67.727863,72
"315",315,1940.3702065,67.727863,129
"318",318,1511.526988,67.727863,92
"5",5,2365.5516655,67.727863,171
"32",32,2569.77893,67.727863,197
"50",50,1871.08545,67.727863,129
"59",59,1103.218098,67.727863,54
"78",78,2485.331975,67.727863,207
"136",136,655.760245,67.727863,27
"184",184,1230.964529,67.727863,68
"188",188,1975.351573,67.727863,136
"224",224,1841.085785,67.727863,126
"244",244,2673.9864695,67.727863,207
"265",265,1022.298596,67.727863,55
"274",274,1789.440925,67.727863,116
"282",282,2226.6292,67.727863,152
"299",299,2244.036558,67.727863,156
"341",341,1707.8417755,67.727863,111
"47",47,1576.5973055,67.727863,96
"67",67,938.419015,67.727863,45
"70",70,1503.278598,67.727863,107
"93",93,1546.736943,67.727863,95
"108",108,2447.864004,67.727863,195
"109",109,1820.2665335,67.727863,123
"128",128,1027.2555885,67.727863,55
"138",138,2277.694309,67.727863,164
"151",151,2212.9511495,67.727863,168
"152",152,2338.599017,67.727863,183
"166",166,2276.9264735,67.727863,187
"225",225,2383.291862,67.727863,187
"239",239,2893.7683575,67.727863,219
"280",280,2722.3250555,67.727863,216
"298",298,2267.849784,67.727863,185
"310",310,1894.946118,67.727863,121
"328",328,2559.70344,67.727863,194
"6",6,2382.685454,67.727863,167
"60",60,2336.2760105,67.727863,162
"99",99,2406.800854,67.727863,169
"134",134,1454.938823,67.727863,85
"156",156,2373.397573,67.727863,185
"160",160,2407.8320705,67.727863,177
"175",175,2828.3467885,67.727863,219
"203",203,2101.156344,67.727863,159
"221",221,874.0462895,67.727863,36
"223",223,1196.0998445,67.727863,60
"236",236,1994.41675,67.727863,145
"256",256,849.571839,67.727863,41
"320",320,1884.239047,67.727863,128
