,Assigned_group,identified_compounds_count,identified_Terpenoids_count,mean_identified_as_Terpenoids,expected_total_mean_for_Terpenoids,weigthing_factor_for_Terpenoids,norm_mean_identified_as_Terpenoids,identified_Fatty acids_count,mean_identified_as_Fatty acids,expected_total_mean_for_Fatty acids,weigthing_factor_for_Fatty acids,norm_mean_identified_as_Fatty acids,identified_Polyketides_count,mean_identified_as_Polyketides,expected_total_mean_for_Polyketides,weigthing_factor_for_Polyketides,norm_mean_identified_as_Polyketides,identified_Carbohydrates_count,mean_identified_as_Carbohydrates,expected_total_mean_for_Carbohydrates,weigthing_factor_for_Carbohydrates,norm_mean_identified_as_Carbohydrates,identified_Amino acids and Peptides_count,mean_identified_as_Amino acids and Peptides,expected_total_mean_for_Amino acids and Peptides,weigthing_factor_for_Amino acids and Peptides,norm_mean_identified_as_Amino acids and Peptides,identified_Shikimates and Phenylpropanoids_count,mean_identified_as_Shikimates and Phenylpropanoids,expected_total_mean_for_Shikimates and Phenylpropanoids,weigthing_factor_for_Shikimates and Phenylpropanoids,norm_mean_identified_as_Shikimates and Phenylpropanoids,identified_Alkaloids_count,mean_identified_as_Alkaloids,expected_total_mean_for_Alkaloids,weigthing_factor_for_Alkaloids,norm_mean_identified_as_Alkaloids,number_of_apparent_categories,binary_identified_as_Terpenoids,binary_identified_as_Fatty acids,binary_identified_as_Polyketides,binary_identified_as_Carbohydrates,binary_identified_as_Amino acids and Peptides,binary_identified_as_Shikimates and Phenylpropanoids,binary_identified_as_Alkaloids
count,349,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0,349.0
unique,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top,CPI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
freq,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,,645.0085959885387,261.1547277936963,0.4405750801162558,0.40488565488565487,0.9542957752303297,0.4404432546922692,21.283667621776505,0.03211753632375089,0.03299749453595607,0.9542957752303297,0.03310923810272978,56.7163323782235,0.11359395170331693,0.08793112639266486,0.9542957752303297,0.107331133976707,10.166189111747851,0.02054959104497405,0.015761323453631154,0.9542957752303297,0.0208883206285938,8.383954154727794,0.007607235034599848,0.012998205305897617,0.9542957752303297,0.008201303962809046,117.9512893982808,0.20728637386134707,0.18286777902162515,0.9542957752303297,0.2104342666273799,169.35243553008596,0.17827023191575536,0.2625584164045702,0.9542957752303297,0.17959248200951136,5.92836676217765,0.9885386819484241,0.8825214899713467,0.9054441260744985,0.8595988538681948,0.4269340974212034,0.9656160458452722,0.8997134670487106
std,,722.3196847223471,260.9635860266602,0.1689327390832688,0.0,0.1675830158416219,0.1506367620209849,30.0244592295538,0.033059093592573606,0.0,0.1675830158416219,0.031064454262410255,64.55953585078286,0.12475227683185236,0.0,0.1675830158416219,0.09548191059172599,9.891125860094286,0.02435432785422977,6.948856427205531e-18,0.1675830158416219,0.02299987445249187,16.289633377829563,0.015276236622763778,3.4744282136027654e-18,0.1675830158416219,0.015134195812252775,122.06871265383631,0.10974574794913453,2.7795425708822123e-17,0.1675830158416219,0.10156187785986769,287.16035234865757,0.16983272079772316,0.0,0.1675830158416219,0.1510988962446317,1.3446457990374583,0.10659509175198485,0.3224519080636143,0.2930206151806689,0.3479015245774015,0.4953427336756736,0.18247494356526686,0.300812937570962
min,,1.0,0.0,0.0,0.40488565488565487,0.13010847436299786,0.021264806274377115,0.0,0.0,0.03299749453595607,0.13010847436299786,1.6815198119485026e-12,0.0,0.0,0.08793112639266486,0.13010847436299786,3.336759646478709e-14,0.0,0.0,0.015761323453631147,0.13010847436299786,5.981016078461383e-15,0.0,0.0,0.012998205305897613,0.13010847436299786,0.0,0.0,0.0,0.18286777902162518,0.13010847436299786,0.0320041542485623,0.0,0.0,0.2625584164045702,0.13010847436299786,3.4979807904176793e-16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,,226.0,92.0,0.3326923076923077,0.40488565488565487,0.9999999988688149,0.3333333333333333,4.0,0.011406844106463879,0.03299749453595607,0.9999999988688149,0.012903225806451613,10.0,0.03119584055459272,0.08793112639266486,0.9999999988688149,0.03394255874673631,2.0,0.006495068559057012,0.015761323453631147,0.9999999988688149,0.007462686567164179,0.0,0.0,0.012998205305897613,0.9999999988688149,7.339270585130961e-14,38.0,0.13333333333333333,0.18286777902162518,0.9999999988688149,0.13868613138727262,7.0,0.03153153153153153,0.2625584164045702,0.9999999988688149,0.038461538469998426,6.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
50%,,402.0,187.0,0.4187158469945355,0.40488565488565487,1.0,0.4187158469945355,11.0,0.019417475728155338,0.03299749453595607,1.0,0.022277227722772276,38.0,0.07121212121212121,0.08793112639266486,1.0,0.07149084568439407,9.0,0.013077593722755012,0.015761323453631147,1.0,0.01348747591522158,0.0,0.0,0.012998205305897613,1.0,0.001430615164520744,83.0,0.18091451292246521,0.18286777902162518,1.0,0.18091451292246521,50.0,0.13253012048192772,0.2625584164045702,1.0,0.15527950310559827,6.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
75%,,859.0,359.0,0.5419847328244275,0.40488565488565487,1.0,0.5349544072948278,21.0,0.051833122629582805,0.03299749453595607,1.0,0.051833122629582805,82.0,0.17660044150110377,0.08793112639266486,1.0,0.17636022514071295,14.0,0.027842227378190254,0.015761323453631147,1.0,0.027842227378190254,5.0,0.007894736842105263,0.012998205305897613,1.0,0.009285714285714286,156.0,0.2815533980582524,0.18286777902162518,1.0,0.276843467011643,174.0,0.2857142857142857,0.2625584164045702,1.0,0.2805247225025227,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
