,Assigned_group,identified_compounds_count,identified_Terpenoids_count,mean_identified_as_Terpenoids,expected_total_mean_for_Terpenoids,weigthing_factor_for_Terpenoids,norm_mean_identified_as_Terpenoids,identified_Fatty acids_count,mean_identified_as_Fatty acids,expected_total_mean_for_Fatty acids,weigthing_factor_for_Fatty acids,norm_mean_identified_as_Fatty acids,identified_Polyketides_count,mean_identified_as_Polyketides,expected_total_mean_for_Polyketides,weigthing_factor_for_Polyketides,norm_mean_identified_as_Polyketides,identified_Carbohydrates_count,mean_identified_as_Carbohydrates,expected_total_mean_for_Carbohydrates,weigthing_factor_for_Carbohydrates,norm_mean_identified_as_Carbohydrates,identified_Amino acids and Peptides_count,mean_identified_as_Amino acids and Peptides,expected_total_mean_for_Amino acids and Peptides,weigthing_factor_for_Amino acids and Peptides,norm_mean_identified_as_Amino acids and Peptides,identified_Shikimates and Phenylpropanoids_count,mean_identified_as_Shikimates and Phenylpropanoids,expected_total_mean_for_Shikimates and Phenylpropanoids,weigthing_factor_for_Shikimates and Phenylpropanoids,norm_mean_identified_as_Shikimates and Phenylpropanoids,identified_Alkaloids_count,mean_identified_as_Alkaloids,expected_total_mean_for_Alkaloids,weigthing_factor_for_Alkaloids,norm_mean_identified_as_Alkaloids,number_of_apparent_categories,binary_identified_as_Terpenoids,binary_identified_as_Fatty acids,binary_identified_as_Polyketides,binary_identified_as_Carbohydrates,binary_identified_as_Amino acids and Peptides,binary_identified_as_Shikimates and Phenylpropanoids,binary_identified_as_Alkaloids
0,MLW,1209,501,0.4143920595533499,0.40488565488565487,1.0,0.4143920595533499,13,0.010752688172043012,0.03299749453595607,1.0,0.010752688172043012,85,0.07030603804797353,0.08793112639266486,1.0,0.07030603804797353,13,0.010752688172043012,0.015761323453631147,1.0,0.010752688172043012,41,0.03391232423490488,0.012998205305897613,1.0,0.03391232423490488,139,0.11497105045492143,0.18286777902162518,1.0,0.11497105045492143,417,0.34491315136476425,0.2625584164045702,1.0,0.34491315136476425,7,1,1,1,1,1,1,1
1,TAN,1870,711,0.3802139037433155,0.40488565488565487,1.0,0.3802139037433155,23,0.01229946524064171,0.03299749453595607,1.0,0.01229946524064171,123,0.06577540106951872,0.08793112639266486,1.0,0.06577540106951872,23,0.01229946524064171,0.015761323453631147,1.0,0.01229946524064171,53,0.028342245989304814,0.012998205305897613,1.0,0.028342245989304814,208,0.11122994652406418,0.18286777902162518,1.0,0.11122994652406418,729,0.38983957219251336,0.2625584164045702,1.0,0.38983957219251336,7,1,1,1,1,1,1,1
2,CPP,655,355,0.5419847328244275,0.40488565488565487,1.0,0.5419847328244275,9,0.013740458015267175,0.03299749453595607,1.0,0.013740458015267175,64,0.09770992366412214,0.08793112639266486,1.0,0.09770992366412214,9,0.013740458015267175,0.015761323453631147,1.0,0.013740458015267175,36,0.0549618320610687,0.012998205305897613,1.0,0.0549618320610687,54,0.08244274809160305,0.18286777902162518,1.0,0.08244274809160305,128,0.19541984732824427,0.2625584164045702,1.0,0.19541984732824427,7,1,1,1,1,1,1,1
3,MOZ,1333,534,0.4006001500375094,0.40488565488565487,1.0,0.4006001500375094,14,0.010502625656414103,0.03299749453595607,1.0,0.010502625656414103,63,0.047261815453863466,0.08793112639266486,1.0,0.047261815453863466,15,0.011252813203300824,0.015761323453631147,1.0,0.011252813203300824,44,0.033008252063015754,0.012998205305897613,1.0,0.033008252063015754,143,0.1072768192048012,0.18286777902162518,1.0,0.1072768192048012,520,0.3900975243810953,0.2625584164045702,1.0,0.3900975243810953,7,1,1,1,1,1,1,1
4,NAT,731,333,0.45554035567715456,0.40488565488565487,1.0,0.45554035567715456,10,0.013679890560875513,0.03299749453595607,1.0,0.013679890560875513,63,0.08618331053351573,0.08793112639266486,1.0,0.08618331053351573,9,0.012311901504787962,0.015761323453631147,1.0,0.012311901504787962,39,0.0533515731874145,0.012998205305897613,1.0,0.0533515731874145,72,0.09849521203830369,0.18286777902162518,1.0,0.09849521203830369,205,0.280437756497948,0.2625584164045702,1.0,0.280437756497948,7,1,1,1,1,1,1,1
5,KEN,1723,680,0.3946604759141033,0.40488565488565487,1.0,0.3946604759141033,85,0.04933255948926291,0.03299749453595607,1.0,0.04933255948926291,108,0.06268136970400465,0.08793112639266486,1.0,0.06268136970400465,27,0.01567034242600116,0.015761323453631147,1.0,0.01567034242600116,68,0.03946604759141033,0.012998205305897613,1.0,0.03946604759141033,175,0.10156703424260012,0.18286777902162518,1.0,0.10156703424260012,580,0.3366221706326175,0.2625584164045702,1.0,0.3366221706326175,7,1,1,1,1,1,1,1
6,SWZ,518,186,0.3590733590733591,0.40488565488565487,1.0,0.3590733590733591,6,0.011583011583011582,0.03299749453595607,1.0,0.011583011583011582,50,0.09652509652509653,0.08793112639266486,1.0,0.09652509652509653,7,0.013513513513513514,0.015761323453631147,1.0,0.013513513513513514,34,0.06563706563706563,0.012998205305897613,1.0,0.06563706563706563,68,0.13127413127413126,0.18286777902162518,1.0,0.13127413127413126,167,0.3223938223938224,0.2625584164045702,1.0,0.3223938223938224,7,1,1,1,1,1,1,1
7,TVL,904,440,0.48672566371681414,0.40488565488565487,1.0,0.48672566371681414,10,0.011061946902654867,0.03299749453595607,1.0,0.011061946902654867,62,0.06858407079646017,0.08793112639266486,1.0,0.06858407079646017,6,0.00663716814159292,0.015761323453631147,1.0,0.00663716814159292,37,0.04092920353982301,0.012998205305897613,1.0,0.04092920353982301,103,0.11393805309734513,0.18286777902162518,1.0,0.11393805309734513,246,0.2721238938053097,0.2625584164045702,1.0,0.2721238938053097,7,1,1,1,1,1,1,1
8,ZAI,2210,666,0.3013574660633484,0.40488565488565487,1.0,0.3013574660633484,29,0.013122171945701358,0.03299749453595607,1.0,0.013122171945701358,167,0.0755656108597285,0.08793112639266486,1.0,0.0755656108597285,26,0.011764705882352941,0.015761323453631147,1.0,0.011764705882352941,47,0.021266968325791856,0.012998205305897613,1.0,0.021266968325791856,242,0.10950226244343891,0.18286777902162518,1.0,0.10950226244343891,1033,0.467420814479638,0.2625584164045702,1.0,0.467420814479638,7,1,1,1,1,1,1,1
9,ZAM,1149,508,0.4421235857267189,0.40488565488565487,1.0,0.4421235857267189,12,0.010443864229765013,0.03299749453595607,1.0,0.010443864229765013,53,0.04612706701479547,0.08793112639266486,1.0,0.04612706701479547,8,0.006962576153176675,0.015761323453631147,1.0,0.006962576153176675,40,0.034812880765883375,0.012998205305897613,1.0,0.034812880765883375,107,0.09312445604873804,0.18286777902162518,1.0,0.09312445604873804,421,0.36640557006092256,0.2625584164045702,1.0,0.36640557006092256,7,1,1,1,1,1,1,1
