"","LEVEL3_NAM","tdwg3_codes","LEVEL2_COD","LEVEL1_COD","animal_richness"
"0","Alberta","ABT","71","7",207.878248974008
"1","Afghanistan","AFG","34","3",197.682584269663
"2","Argentina Northeast","AGE","85","8",355.359487590072
"3","Argentina South","AGS","85","8",157.66936416185
"4","Argentina Northwest","AGW","85","8",271.200819672131
"5","Alabama","ALA","78","7",294.102564102564
"6","Albania","ALB","13","1",291.666666666667
"7","Aldabra","ALD","29","2",NA
"8","Algeria","ALG","20","2",84.9980680061824
"9","Altay","ALT","30","3",289.054982817869
"10","Aleutian Is.","ALU","70","7",NA
"11","Amur","AMU","31","3",235.625
"12","Andaman Is.","AND","41","4",210.25
"13","Angola","ANG","26","2",495.165462427746
"14","Antarctica","ANT","91","9",0.486383074499212
"15","Arizona","ARI","76","7",303.515243902439
"16","Arkansas","ARK","78","7",292.524137931034
"17","Aruba","ARU","81","8",NA
"18","Ascension","ASC","28","2",NA
"19","Alaska","ASK","70","7",131.528888888889
"20","Amsterdam-St.Paul Is.","ASP","90","9",NA
"21","Assam","ASS","40","4",676.020618556701
"22","Antipodean Is.","ATP","51","5",NA
"23","Austria","AUT","11","1",230.698924731183
"24","Azores","AZO","21","2",NA
"25","Bahamas","BAH","81","8",187.5
"26","Baleares","BAL","12","1",171.333333333333
"27","Bangladesh","BAN","40","4",447.076923076923
"28","Benin","BEN","22","2",538.333333333333
"29","Bermuda","BER","81","8",NA
"30","Belgium","BGM","11","1",220.027027027027
"31","Bismarck Archipelago","BIS","43","4",257.425
"32","Burkina","BKN","22","2",468.098360655738
"33","Belarus","BLR","14","1",263.444444444444
"34","Baltic States","BLT","14","1",251.550505050505
"35","Belize","BLZ","80","8",578.56
"36","Bolivia","BOL","83","8",613.534100246508
"37","Borneo","BOR","42","4",618.769230769231
"38","Botswana","BOT","27","2",417.029366306028
"39","Bouvet I.","BOU","90","9",NA
"40","British Columbia","BRC","71","7",203.454458293384
"41","Buryatiya","BRY","30","3",261.827319587629
"42","Bulgaria","BUL","13","1",272.303278688525
"43","Burundi","BUR","23","2",689.133333333333
"44","Brazil West-Central","BZC","84","8",743.990545050056
"45","Brazil Northeast","BZE","84","8",585.264757451783
"46","Brazil Southeast","BZL","84","8",774.474196689387
"47","Brazil North","BZN","84","8",866.082981715893
"48","Brazil South","BZS","84","8",613.567524115756
"49","Cabinda","CAB","23","2",672.777777777778
"50","Central African Republic","CAF","23","2",504.38494934877
"51","California","CAL","76","7",285.137168141593
"52","Cayman Is.","CAY","81","8",NA
"53","Cambodia","CBD","41","4",561.760975609756
"54","Chagos Archipelago","CGS","29","2",NA
"55","Chad","CHA","24","2",223.706254392129
"56","China South-Central","CHC","36","3",461.48329925017
"57","Hainan","CHH","36","3",464.685714285714
"58","Inner Mongolia","CHI","36","3",182.074157303371
"59","Manchuria","CHM","36","3",258.673469387755
"60","China North-Central","CHN","36","3",226.455138662316
"61","Qinghai","CHQ","36","3",139.756723716381
"62","China Southeast","CHS","36","3",407.752240717029
"63","Tibet","CHT","36","3",126.356972111554
"64","Xinjiang","CHX","36","3",141.157111356119
"65","Cocos (Keeling) I.","CKI","42","4",NA
"66","Chile Central","CLC","85","8",173.422885572139
"67","Colombia","CLM","83","8",749.043616177637
"68","Chile North","CLN","85","8",94.756183745583
"69","Chile South","CLS","85","8",146.407942238267
"70","Cameroon","CMN","23","2",659.816955684008
"71","Connecticut","CNT","75","7",283.066666666667
"72","Canary Is.","CNY","21","2",112.333333333333
"73","Colorado","COL","73","7",260.18
"74","Comoros","COM","29","2",NA
"75","Congo","CON","23","2",598.143229166667
"76","Cook Is.","COO","61","6",NA
"77","Corse","COR","12","1",181.285714285714
"78","Costa Rica","COS","80","8",760
"79","C. American Pacific Is.","CPI","80","8",NA
"80","Cape Provinces","CPP","27","2",355.45306122449
"81","Caprivi Strip","CPV","27","2",625.761904761905
"82","Caroline Is.","CRL","62","6",NA
"83","Crozet Is.","CRZ","90","9",NA
"84","Chita","CTA","30","3",258.168399168399
"85","Chatham Is.","CTM","51","5",NA
"86","Cuba","CUB","81","8",271.396226415094
"87","Cape Verde","CVI","21","2",72
"88","Cyprus","CYP","34","3",191.142857142857
"89","Czechoslovakia","CZE","11","1",252.762237762238
"90","Delaware","DEL","78","7",310.571428571429
"91","Denmark","DEN","10","1",210.512195121951
"92","Djibouti","DJI","24","2",306.041666666667
"93","Dominican Republic","DOM","81","8",223.571428571429
"94","Desventurados Is.","DSV","85","8",NA
"95","East Aegean Is.","EAI","34","3",186
"96","Easter Is.","EAS","61","6",NA
"97","Ecuador","ECU","83","8",757.081481481481
"98","Egypt","EGY","20","2",93.2755905511811
"99","East Himalaya","EHM","40","4",586.547297297297
"100","El Salvador","ELS","80","8",485.739130434783
"101","Equatorial Guinea","EQG","23","2",681.678571428571
"102","Eritrea","ERI","24","2",360.661654135338
"103","Ethiopia","ETH","24","2",447.660332541568
"104","Falkland Is.","FAL","90","9",90.4285714285714
"105","Fiji","FIJ","60","6",111.818181818182
"106","Finland","FIN","10","1",189.217983651226
"107","Florida","FLA","78","7",310.825
"108","Føroyar","FOR","10","1",NA
"109","France","FRA","12","1",239.793624161074
"110","French Guiana","FRG","82","8",926.247311827957
"111","Gabon","GAB","23","2",644.133333333333
"112","Galápagos","GAL","83","8",108
"113","Gambia, The","GAM","22","2",610.25
"114","Georgia","GEO","78","7",287.548192771084
"115","Germany","GER","11","1",233.053984575835
"116","Gulf of Guinea Is.","GGI","23","2",304
"117","Ghana","GHA","22","2",605.541666666667
"118","Gilbert Is.","GIL","60","6",NA
"119","Guinea-Bissau","GNB","22","2",535.216216216216
"120","Greenland","GNL","70","7",13.4732297063903
"121","Great Britain","GRB","10","1",187.173333333333
"122","Greece","GRC","13","1",279.30701754386
"123","Gulf States","GST","35","3",140.954545454545
"124","Guatemala","GUA","80","8",550.258064516129
"125","Guinea","GUI","22","2",520.189591078067
"126","Guyana","GUY","82","8",900.560669456067
"127","Haiti","HAI","81","8",232.84
"128","Hawaii","HAW","63","6",68
"129","Howland-Baker Is.","HBI","60","6",NA
"130","Heard-McDonald Is.","HMD","90","9",NA
"131","Honduras","HON","80","8",553.427419354839
