,accepted_family,Genus,accepted_species,accepted_species_w_author
0,Apocynaceae,Acokanthera,Acokanthera laevigata,Acokanthera laevigata Kupicha
1,Apocynaceae,Acokanthera,Acokanthera oblongifolia,Acokanthera oblongifolia (Hochst.) Benth. & Hook.f. ex B.D.Jacks.
19,Apocynaceae,Acokanthera,Acokanthera oppositifolia,Acokanthera oppositifolia (Lam.) Codd
22,Apocynaceae,Acokanthera,Acokanthera schimperi,Acokanthera schimperi (A.DC.) Schweinf.
25,Apocynaceae,Adenium,Adenium boehmianum,Adenium boehmianum Schinz
28,Apocynaceae,Adenium,Adenium obesum,Adenium obesum (Forssk.) Roem. & Schult.
57,Rubiaceae,Adina,Adina cordifolia,Adina cordifolia (Roxb.) Brandis
86,Rubiaceae,Adina,Adina eurhyncha,Adina eurhyncha (Miq.) Å.Krüger & Löfstrand
94,Rubiaceae,Adina,Adina pilulifera,Adina pilulifera (Lam.) Franch. ex Drake
96,Rubiaceae,Adina,Adina racemosa,Adina racemosa (Siebold & Zucc.) Miq.
152,Rubiaceae,Adina,Adina rubella,Adina rubella Hance
158,Rubiaceae,Adina,Adina trichotoma,Adina trichotoma (Zoll. & Moritzi) Benth. & Hook.f. ex B.D.Jacks.
185,Apocynaceae,Aganosma,Aganosma heynei,Aganosma heynei (Spreng.) I.M.Turner
198,Rubiaceae,Aidia,Aidia canthioides,Aidia canthioides (Champ. ex Benth.) Masam.
203,Apocynaceae,Alafia,Alafia barteri,Alafia barteri Oliv.
220,Rubiaceae,Alberta,Alberta magna,Alberta magna E.Mey.
225,Rubiaceae,Alibertia,Alibertia edulis,Alibertia edulis (Rich.) A.Rich. ex DC.
245,Apocynaceae,Allamanda,Allamanda blanchetii,Allamanda blanchetii A.DC.
249,Apocynaceae,Allamanda,Allamanda cathartica,Allamanda cathartica L.
286,Apocynaceae,Allamanda,Allamanda schottii,Allamanda schottii Pohl
313,Apocynaceae,Alstonia,Alstonia actinophylla,Alstonia actinophylla (A.Cunn.) K.Schum.
314,Apocynaceae,Alstonia,Alstonia angustifolia,Alstonia angustifolia Wall. ex A.DC.
419,Apocynaceae,Alstonia,Alstonia angustiloba,Alstonia angustiloba Miq.
454,Apocynaceae,Alstonia,Alstonia balansae,Alstonia balansae Guillaumin
482,Apocynaceae,Alstonia,Alstonia boonei,Alstonia boonei De Wild.
494,Apocynaceae,Alstonia,Alstonia boulindaensis,Alstonia boulindaensis Boiteau
495,Apocynaceae,Alstonia,Alstonia congensis,Alstonia congensis Engl.
508,Apocynaceae,Alstonia,Alstonia constricta,Alstonia constricta F.Muell.
523,Apocynaceae,Alstonia,Alstonia coriacea,Alstonia coriacea Pancher ex S.Moore
532,Apocynaceae,Alstonia,Alstonia costata,Alstonia costata (G.Forst.) R.Br.
538,Apocynaceae,Alstonia,Alstonia deplanchei,Alstonia deplanchei Van Heurck & Müll.Arg.
542,Apocynaceae,Alstonia,Alstonia lanceolata,Alstonia lanceolata Van Heurck & Müll.Arg.
549,Apocynaceae,Alstonia,Alstonia lanceolifera,Alstonia lanceolifera S.Moore
560,Apocynaceae,Alstonia,Alstonia legouixiae,Alstonia legouixiae Van Heurck & Müll.Arg.
565,Apocynaceae,Alstonia,Alstonia lenormandii,Alstonia lenormandii Van Heurck & Müll.Arg.
577,Apocynaceae,Alstonia,Alstonia longifolia,Alstonia longifolia (A.DC.) Pichon
587,Apocynaceae,Alstonia,Alstonia macrophylla,Alstonia macrophylla Wall. ex G.Don
705,Apocynaceae,Alstonia,Alstonia mairei,Alstonia mairei H.Lév.
731,Apocynaceae,Alstonia,Alstonia muelleriana,Alstonia muelleriana Domin
751,Apocynaceae,Alstonia,Alstonia odontophora,Alstonia odontophora Boiteau
756,Apocynaceae,Alstonia,Alstonia penangiana,Alstonia penangiana Sidiyasa
759,Apocynaceae,Alstonia,Alstonia pneumatophora,Alstonia pneumatophora Backer ex Den Berger
778,Apocynaceae,Alstonia,Alstonia quaternata,Alstonia quaternata Van Heurck & Müll.Arg.
785,Apocynaceae,Alstonia,Alstonia rostrata,Alstonia rostrata C.E.C.Fisch.
817,Apocynaceae,Alstonia,Alstonia scholaris,Alstonia scholaris (L.) R.Br.
923,Apocynaceae,Alstonia,Alstonia spatulata,Alstonia spatulata Blume
952,Apocynaceae,Alstonia,Alstonia spectabilis,Alstonia spectabilis R.Br.
962,Apocynaceae,Alstonia,Alstonia sphaerocapitata,Alstonia sphaerocapitata Boiteau
973,Apocynaceae,Alstonia,Alstonia venenata,Alstonia venenata R.Br.
992,Apocynaceae,Alstonia,Alstonia yunnanensis,Alstonia yunnanensis Diels
1031,Apocynaceae,Alyxia,Alyxia buxifolia,Alyxia buxifolia R.Br.
1034,Apocynaceae,Alyxia,Alyxia reinwardtii,Alyxia reinwardtii Blume
1042,Apocynaceae,Alyxia,Alyxia sinensis,Alyxia sinensis Champ. ex Benth.
1045,Apocynaceae,Amalocalyx,Amalocalyx microlobus,Amalocalyx microlobus Pierre ex Spire
1048,Apocynaceae,Amsonia,Amsonia ciliata,Amsonia ciliata Walter
1054,Apocynaceae,Amsonia,Amsonia elliptica,Amsonia elliptica (Thunb.) Roem. & Schult.
1076,Apocynaceae,Amsonia,Amsonia grandiflora,Amsonia grandiflora Alexander
1084,Apocynaceae,Amsonia,Amsonia orientalis,Amsonia orientalis Decne.
1094,Apocynaceae,Amsonia,Amsonia tabernaemontana,Amsonia tabernaemontana Walter
1102,Apocynaceae,Amsonia,Amsonia tomentosa,Amsonia tomentosa Torr. & Frém.
1112,Apocynaceae,Anodendron,Anodendron affine,Anodendron affine (Hook. & Arn.) Druce
1176,Apocynaceae,Anodendron,Anodendron parviflorum,Anodendron parviflorum (Roxb.) I.M.Turner
1177,Gentianaceae,Anthocleista,Anthocleista djalonensis,Anthocleista djalonensis A.Chev.
1190,Gentianaceae,Anthocleista,Anthocleista grandiflora,Anthocleista grandiflora Gilg
1194,Gentianaceae,Anthocleista,Anthocleista nobilis,Anthocleista nobilis G.Don
1195,Gentianaceae,Anthocleista,Anthocleista procera,Anthocleista procera Lepr. ex Bureau
1197,Gentianaceae,Anthocleista,Anthocleista vogelii,Anthocleista vogelii Planch.
1205,Loganiaceae,Antonia,Antonia ovata,Antonia ovata Pohl
1214,Apocynaceae,Apocynum,Apocynum androsaemifolium,Apocynum androsaemifolium L.
