,example_compound_name,Standard_SMILES,MAIP_SMILES,SMILES,InChIKey,CAS ID,Source,accepted_ipni_id,accepted_family,accepted_species,accepted_species_w_author,plant_name_id,taxon_status,InChIKey_simp,NPclassif_class_results,NPclassif_superclass_results,NPclassif_pathway_results,NPclassif_isglycoside,NPclassif_class_results_0,NPclassif_superclass_results_0,NPclassif_pathway_results_0,NPclassif_class_results_1,NPclassif_pathway_results_1,NPclassif_superclass_results_1,NPclassif_class_results_2,NPclassif_class_results_3,NPclassif_pathway_results_2,NPclassif_superclass_results_2,Genus
count,17318,17318,17115,17318,17318,9154,17318,17318,17318,17318,17318,17318.0,17318,17318,16727,16890,17318,17318,16727,16890,17318,1928,460,233,114,26,4,0,17318
unique,9126,7657,7618,8123,8854,2074,2,1336,5,1307,1307,,4,7175,365,95,18,2,242,55,7,87,4,23,10,1,1,0,308
top,beta-sitosterol,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,KZJWDPNRJALLNS-VJSFXXLFSA-N,510-22-5,WikiData,77880-1,Apocynaceae,Catharanthus roseus,Catharanthus roseus (L.) G.Don,,Accepted,KZJWDPNRJALLNS,Corynanthe type,Tryptophan alkaloids,Alkaloids,False,Corynanthe type,Tryptophan alkaloids,Alkaloids,Strychnos type,Shikimates and Phenylpropanoids,Pseudoalkaloids,Strychnos type,Polysaccharides,Shikimates and Phenylpropanoids,,Tabernaemontana
freq,81,125,125,82,120,94,14639,347,8718,347,347,,15665,164,1814,5850,6419,12532,2388,5882,6608,266,246,56,67,26,4,,1389
mean,,,,,,,,,,,,694871.6066520383,,,,,,,,,,,,,,,,,
std,,,,,,,,,,,,1010951.4963324498,,,,,,,,,,,,,,,,,
min,,,,,,,,,,,,2160.0,,,,,,,,,,,,,,,,,
25%,,,,,,,,,,,,100795.0,,,,,,,,,,,,,,,,,
50%,,,,,,,,,,,,200594.0,,,,,,,,,,,,,,,,,
75%,,,,,,,,,,,,509402.0,,,,,,,,,,,,,,,,,
max,,,,,,,,,,,,2999060.0,,,,,,,,,,,,,,,,,
