,0
number_compounds_from_region,143
['number_compounds_from_Cerbera manghas'],61
number_regions_for_Cerbera manghas,50
['number_compounds_from_Eumachia leptothyrsa'],1
number_regions_for_Eumachia leptothyrsa,10
['number_compounds_from_Fagraea berteroana'],3
number_regions_for_Fagraea berteroana,19
['number_compounds_from_Gardenia taitensis'],1
number_regions_for_Gardenia taitensis,6
['number_compounds_from_Guettarda speciosa'],2
number_regions_for_Guettarda speciosa,63
['number_compounds_from_Hoya australis'],58
number_regions_for_Hoya australis,13
['number_compounds_from_Leptopetalum biflorum'],13
number_regions_for_Leptopetalum biflorum,37
['number_compounds_from_Ochrosia oppositifolia'],4
number_regions_for_Ochrosia oppositifolia,39
