,0
number_compounds_from_region,235
['number_compounds_from_Blackstonia perfoliata'],10
number_regions_for_Blackstonia perfoliata,34
['number_compounds_from_Centaurium erythraea'],46
number_regions_for_Centaurium erythraea,57
['number_compounds_from_Centaurium littorale'],4
number_regions_for_Centaurium littorale,29
['number_compounds_from_Centaurium pulchellum'],10
number_regions_for_Centaurium pulchellum,83
['number_compounds_from_Cruciata laevipes'],9
number_regions_for_Cruciata laevipes,33
['number_compounds_from_Galium album'],16
number_regions_for_Galium album,41
['number_compounds_from_Galium aparine'],22
number_regions_for_Galium aparine,81
['number_compounds_from_Galium glaucum'],2
number_regions_for_Galium glaucum,17
['number_compounds_from_Galium mollugo'],33
number_regions_for_Galium mollugo,40
['number_compounds_from_Galium odoratum'],18
number_regions_for_Galium odoratum,52
['number_compounds_from_Galium palustre'],3
number_regions_for_Galium palustre,74
['number_compounds_from_Galium spurium'],12
number_regions_for_Galium spurium,102
['number_compounds_from_Galium tricornutum'],2
number_regions_for_Galium tricornutum,54
['number_compounds_from_Galium verum'],23
number_regions_for_Galium verum,77
['number_compounds_from_Gentiana cruciata'],7
number_regions_for_Gentiana cruciata,31
['number_compounds_from_Gentianella amarella'],14
number_regions_for_Gentianella amarella,84
['number_compounds_from_Gentianella campestris'],36
number_regions_for_Gentianella campestris,20
['number_compounds_from_Gentianella germanica'],12
number_regions_for_Gentianella germanica,13
['number_compounds_from_Gentianopsis ciliata'],25
number_regions_for_Gentianopsis ciliata,26
['number_compounds_from_Sherardia arvensis'],1
number_regions_for_Sherardia arvensis,60
['number_compounds_from_Vinca minor'],49
number_regions_for_Vinca minor,21
['number_compounds_from_Vincetoxicum hirundinaria'],7
number_regions_for_Vincetoxicum hirundinaria,38
