,0
number_compounds_from_region,313
['number_compounds_from_Apocynum pictum'],4
number_regions_for_Apocynum pictum,8
['number_compounds_from_Apocynum venetum'],36
number_regions_for_Apocynum venetum,36
['number_compounds_from_Asperula oppositifolia'],2
number_regions_for_Asperula oppositifolia,8
['number_compounds_from_Centaurium pulchellum'],10
number_regions_for_Centaurium pulchellum,83
['number_compounds_from_Comastoma tenellum'],2
number_regions_for_Comastoma tenellum,55
['number_compounds_from_Cynanchum acutum'],4
number_regions_for_Cynanchum acutum,47
['number_compounds_from_Galium aparine'],22
number_regions_for_Galium aparine,81
['number_compounds_from_Galium humifusum'],7
number_regions_for_Galium humifusum,25
['number_compounds_from_Galium spurium'],12
number_regions_for_Galium spurium,102
['number_compounds_from_Galium tricornutum'],2
number_regions_for_Galium tricornutum,54
['number_compounds_from_Galium verum'],23
number_regions_for_Galium verum,77
['number_compounds_from_Gentiana algida'],34
number_regions_for_Gentiana algida,34
['number_compounds_from_Gentiana kauffmanniana'],2
number_regions_for_Gentiana kauffmanniana,6
['number_compounds_from_Gentiana kirilowii'],1
number_regions_for_Gentiana kirilowii,10
['number_compounds_from_Gentiana olgae'],2
number_regions_for_Gentiana olgae,5
['number_compounds_from_Gentiana olivieri'],23
number_regions_for_Gentiana olivieri,12
['number_compounds_from_Gentiana prostrata'],3
number_regions_for_Gentiana prostrata,44
['number_compounds_from_Gentianella azurea'],11
number_regions_for_Gentianella azurea,20
['number_compounds_from_Gentianella turkestanorum'],5
number_regions_for_Gentianella turkestanorum,9
['number_compounds_from_Gentianopsis barbata'],25
number_regions_for_Gentianopsis barbata,34
['number_compounds_from_Halenia elliptica'],35
number_regions_for_Halenia elliptica,15
['number_compounds_from_Lomatogonium carinthiacum'],11
number_regions_for_Lomatogonium carinthiacum,33
['number_compounds_from_Lomatogonium rotatum'],5
number_regions_for_Lomatogonium rotatum,45
['number_compounds_from_Rubia tinctorum'],48
number_regions_for_Rubia tinctorum,30
['number_compounds_from_Schenkia spicata'],22
number_regions_for_Schenkia spicata,38
['number_compounds_from_Swertia connata'],1
number_regions_for_Swertia connata,4
['number_compounds_from_Swertia marginata'],2
number_regions_for_Swertia marginata,14
['number_compounds_from_Vinca erecta'],63
number_regions_for_Vinca erecta,4
