,0
number_compounds_from_region,117
['number_compounds_from_Asclepias mellodora'],1
number_regions_for_Asclepias mellodora,11
['number_compounds_from_Aspidosperma quebracho-blanco'],18
number_regions_for_Aspidosperma quebracho-blanco,6
['number_compounds_from_Funastrum clausum'],4
number_regions_for_Funastrum clausum,41
['number_compounds_from_Galium hypocarpium'],2
number_regions_for_Galium hypocarpium,31
['number_compounds_from_Gentianella florida'],6
number_regions_for_Gentianella florida,2
['number_compounds_from_Gentianella magellanica'],4
number_regions_for_Gentianella magellanica,5
['number_compounds_from_Gentianella multicaulis'],2
number_regions_for_Gentianella multicaulis,5
['number_compounds_from_Hamelia patens'],12
number_regions_for_Hamelia patens,39
['number_compounds_from_Heterophyllaea pustulata'],14
number_regions_for_Heterophyllaea pustulata,3
['number_compounds_from_Mandevilla pentlandiana'],7
number_regions_for_Mandevilla pentlandiana,6
['number_compounds_from_Mitracarpus hirtus'],28
number_regions_for_Mitracarpus hirtus,38
['number_compounds_from_Pogonopus tubulosus'],5
number_regions_for_Pogonopus tubulosus,5
['number_compounds_from_Rauvolfia schuelii'],1
number_regions_for_Rauvolfia schuelii,2
['number_compounds_from_Richardia brasiliensis'],3
number_regions_for_Richardia brasiliensis,13
['number_compounds_from_Vallesia glabra'],21
number_regions_for_Vallesia glabra,11
