,0
number_compounds_from_region,290
['number_compounds_from_Apocynum pictum'],4
number_regions_for_Apocynum pictum,8
['number_compounds_from_Apocynum venetum'],34
number_regions_for_Apocynum venetum,36
['number_compounds_from_Asperula oppositifolia'],2
number_regions_for_Asperula oppositifolia,8
['number_compounds_from_Centaurium erythraea'],43
number_regions_for_Centaurium erythraea,57
['number_compounds_from_Centaurium pulchellum'],10
number_regions_for_Centaurium pulchellum,83
['number_compounds_from_Comastoma tenellum'],2
number_regions_for_Comastoma tenellum,55
['number_compounds_from_Cruciata pedemontana'],6
number_regions_for_Cruciata pedemontana,33
['number_compounds_from_Cynanchum acutum'],4
number_regions_for_Cynanchum acutum,47
['number_compounds_from_Galium aparine'],22
number_regions_for_Galium aparine,81
['number_compounds_from_Galium spurium'],12
number_regions_for_Galium spurium,102
['number_compounds_from_Galium tricornutum'],2
number_regions_for_Galium tricornutum,54
['number_compounds_from_Gentiana algida'],34
number_regions_for_Gentiana algida,34
['number_compounds_from_Gentiana aquatica'],2
number_regions_for_Gentiana aquatica,30
['number_compounds_from_Gentiana kauffmanniana'],1
number_regions_for_Gentiana kauffmanniana,6
['number_compounds_from_Gentiana kirilowii'],1
number_regions_for_Gentiana kirilowii,10
['number_compounds_from_Gentiana olgae'],1
number_regions_for_Gentiana olgae,5
['number_compounds_from_Gentiana olivieri'],22
number_regions_for_Gentiana olivieri,12
['number_compounds_from_Gentiana prostrata'],3
number_regions_for_Gentiana prostrata,44
['number_compounds_from_Gentianella azurea'],11
number_regions_for_Gentianella azurea,20
['number_compounds_from_Gentianella turkestanorum'],4
number_regions_for_Gentianella turkestanorum,9
['number_compounds_from_Gentianopsis barbata'],25
number_regions_for_Gentianopsis barbata,34
['number_compounds_from_Lomatogonium carinthiacum'],11
number_regions_for_Lomatogonium carinthiacum,33
['number_compounds_from_Rubia tinctorum'],47
number_regions_for_Rubia tinctorum,30
['number_compounds_from_Schenkia spicata'],22
number_regions_for_Schenkia spicata,38
['number_compounds_from_Swertia marginata'],1
number_regions_for_Swertia marginata,14
['number_compounds_from_Vinca erecta'],63
number_regions_for_Vinca erecta,4
