,0
number_compounds_from_region,226
['number_compounds_from_Alstonia costata'],6
number_regions_for_Alstonia costata,10
['number_compounds_from_Cerbera manghas'],61
number_regions_for_Cerbera manghas,50
['number_compounds_from_Eumachia forsteriana'],10
number_regions_for_Eumachia forsteriana,4
['number_compounds_from_Fagraea berteroana'],3
number_regions_for_Fagraea berteroana,19
['number_compounds_from_Fagraea gracilipes'],9
number_regions_for_Fagraea gracilipes,1
['number_compounds_from_Gardenia gordonii'],2
number_regions_for_Gardenia gordonii,1
['number_compounds_from_Gardenia grievei'],1
number_regions_for_Gardenia grievei,1
['number_compounds_from_Gardenia hillii'],2
number_regions_for_Gardenia hillii,1
['number_compounds_from_Gardenia storckii'],5
number_regions_for_Gardenia storckii,1
['number_compounds_from_Gardenia taitensis'],1
number_regions_for_Gardenia taitensis,6
['number_compounds_from_Guettarda speciosa'],2
number_regions_for_Guettarda speciosa,63
['number_compounds_from_Hoya australis'],58
number_regions_for_Hoya australis,13
['number_compounds_from_Leptopetalum biflorum'],13
number_regions_for_Leptopetalum biflorum,37
['number_compounds_from_Ochrosia oppositifolia'],4
number_regions_for_Ochrosia oppositifolia,39
['number_compounds_from_Ochrosia vitiensis'],5
number_regions_for_Ochrosia vitiensis,2
['number_compounds_from_Psychotria milnei'],8
number_regions_for_Psychotria milnei,2
['number_compounds_from_Spermacoce ocymoides'],6
number_regions_for_Spermacoce ocymoides,17
['number_compounds_from_Tabernaemontana pandacaqui'],42
number_regions_for_Tabernaemontana pandacaqui,24
