,0
number_compounds_from_region,113
['number_compounds_from_Apocynum androsaemifolium'],5
number_regions_for_Apocynum androsaemifolium,50
['number_compounds_from_Apocynum cannabinum'],34
number_regions_for_Apocynum cannabinum,54
['number_compounds_from_Asclepias speciosa'],17
number_regions_for_Asclepias speciosa,26
['number_compounds_from_Asclepias syriaca'],46
number_regions_for_Asclepias syriaca,45
['number_compounds_from_Galium spurium'],12
number_regions_for_Galium spurium,102
['number_compounds_from_Gentiana andrewsii'],1
number_regions_for_Gentiana andrewsii,30
['number_compounds_from_Gentianella amarella'],14
number_regions_for_Gentianella amarella,84
['number_compounds_from_Gentianopsis virgata'],2
number_regions_for_Gentianopsis virgata,16
['number_compounds_from_Lomatogonium rotatum'],5
number_regions_for_Lomatogonium rotatum,45
