,Region,Number of Taxa
0,ABT,10
1,AFG,37
2,AGE,35
3,AGS,5
4,AGW,15
5,ALA,18
6,ALB,36
7,ALD,3
8,ALG,26
9,ALT,29
10,ALU,5
11,AMU,16
12,AND,62
13,ANG,77
14,ARI,22
15,ARK,14
16,ARU,6
17,ASK,8
18,ASS,118
19,AUT,44
20,AZO,5
21,BAH,16
22,BAL,16
23,BAN,125
24,BEN,73
25,BER,3
26,BGM,21
27,BIS,22
28,BKN,46
29,BLR,21
30,BLT,19
31,BLZ,53
32,BOL,122
33,BOR,100
34,BOT,24
35,BRC,12
36,BRY,24
37,BUL,49
38,BUR,41
39,BZC,97
40,BZE,101
41,BZL,109
42,BZN,145
43,BZS,55
44,CAB,37
45,CAF,95
46,CAL,23
47,CAY,14
48,CBD,139
49,CGS,2
50,CHA,37
51,CHC,226
52,CHH,84
53,CHI,42
54,CHM,29
55,CHN,69
56,CHQ,33
57,CHS,179
58,CHT,73
59,CHX,29
60,CKI,4
61,CLC,8
62,CLM,138
63,CLN,6
64,CLS,4
65,CMN,125
66,CNT,10
67,CNY,8
68,COL,21
69,COM,20
70,CON,102
71,COO,5
72,COR,23
73,COS,84
74,CPI,3
75,CPP,33
76,CPV,15
77,CRL,14
78,CTA,20
79,CTM,3
80,CUB,45
81,CVI,4
82,CYP,14
83,CZE,36
84,DEL,8
85,DEN,14
86,DJI,14
87,DOM,34
88,EAI,22
89,ECU,90
90,EGY,15
91,EHM,114
92,ELS,42
93,EQG,31
94,ERI,21
95,ETH,47
96,FAL,1
97,FIJ,18
98,FIN,14
99,FLA,25
100,FOR,2
101,FRA,49
102,FRG,85
103,GAB,99
104,GAL,2
105,GAM,29
106,GEO,16
107,GER,38
108,GGI,33
109,GHA,85
110,GIL,7
111,GNB,48
112,GNL,7
113,GRB,19
114,GRC,44
115,GST,11
116,GUA,67
117,GUI,89
118,GUY,84
119,HAI,31
120,HAW,2
121,HON,63
122,HUN,26
123,ICE,9
124,IDA,15
125,ILL,17
126,IND,142
127,INI,13
128,IOW,10
129,IRE,13
130,IRK,20
131,IRN,40
132,IRQ,26
133,ITA,53
134,IVO,92
135,JAM,26
136,JAP,66
137,JAW,102
138,JNF,1
139,KAM,10
140,KAN,10
141,KAZ,38
142,KEN,85
143,KGZ,28
144,KHA,20
145,KOR,45
146,KRA,24
147,KRI,16
148,KRY,28
149,KTY,14
150,KUR,9
151,KUW,1
152,KZN,2
153,LAB,6
154,LAO,120
155,LBR,77
156,LBS,25
157,LBY,18
158,LDV,12
159,LEE,32
160,LES,8
161,LIN,2
162,LOU,16
163,LSI,50
164,MAG,10
165,MAI,12
166,MAN,13
167,MAS,11
168,MAU,6
169,MCI,3
170,MDG,65
171,MDR,2
172,MDV,8
173,MIC,14
174,MIN,13
175,MLI,41
176,MLW,70
177,MLY,152
178,MNT,16
179,MOL,49
180,MON,30
181,MOR,25
182,MOZ,82
183,MRN,7
184,MRQ,4
185,MRS,4
186,MRY,12
187,MSI,10
188,MSO,13
189,MTN,14
190,MXC,44
191,MXE,55
192,MXG,61
193,MXI,1
194,MXN,37
195,MXS,67
196,MXT,72
197,MYA,174
198,NAM,20
199,NAT,45
200,NBR,9
201,NCA,16
202,NCB,44
203,NCS,32
204,NDA,9
205,NEB,12
206,NEP,108
207,NET,20
208,NEV,20
209,NFK,2
210,NFL,7
211,NGA,116
212,NGR,16
213,NIC,70
214,NLA,7
215,NNS,47
216,NOR,19
217,NRU,4
218,NSC,8
219,NSW,18
220,NTA,27
221,NUE,5
222,NUN,5
223,NWC,49
224,NWG,69
225,NWH,12
226,NWJ,11
227,NWM,24
228,NWT,6
229,NWY,14
230,NZN,13
231,NZS,12
232,OFS,12
233,OGA,4
234,OHI,12
235,OKL,13
236,OMA,20
237,ONT,20
238,ORE,13
239,PAK,61
240,PAL,28
241,PAN,89
242,PAR,51
243,PEI,5
244,PEN,13
245,PER,121
246,PHI,93
247,PHX,1
248,PIT,2
249,POL,29
250,POR,25
251,PRM,22
252,PUE,28
253,QLD,56
254,QUE,17
255,REU,7
256,RHO,10
257,ROD,2
258,ROM,43
259,RUC,22
260,RUE,25
261,RUN,24
262,RUS,26
263,RUW,20
264,RWA,34
265,SAK,8
266,SAM,11
267,SAR,22
268,SAS,9
269,SAU,28
270,SCA,15
271,SCI,9
272,SCS,7
273,SCZ,5
274,SDA,13
275,SEL,3
276,SEN,55
277,SEY,6
278,SIC,23
279,SIE,73
280,SIN,16
281,SOA,2
282,SOC,11
283,SOL,30
284,SOM,34
285,SPA,40
286,SRL,92
287,SUD,72
288,SUL,63
289,SUM,99
290,SUR,77
291,SVA,1
292,SWC,15
293,SWE,18
294,SWI,42
295,SWZ,34
296,TAI,89
297,TAN,109
298,TAS,2
299,TCI,8
300,TCS,37
301,TEN,14
302,TEX,27
303,THA,205
304,TKM,17
305,TOG,51
306,TOK,2
307,TON,11
308,TRT,43
309,TUA,4
310,TUB,5
311,TUE,25
312,TUN,18
313,TUR,47
314,TUV,2
315,TVA,18
316,TVL,47
317,TZK,26
318,UGA,76
319,UKR,39
320,URU,16
321,UTA,21
322,UZB,24
323,VAN,22
324,VEN,116
325,VER,13
326,VIC,3
327,VIE,201
328,VNA,18
329,VRG,15
330,WAL,8
331,WAS,10
332,WAU,16
333,WDC,5
334,WHM,82
335,WIN,30
336,WIS,14
337,WSA,2
338,WSB,32
339,WVA,9
340,WYO,15
341,XMS,3
342,YAK,16
343,YEM,27
344,YUG,53
345,YUK,6
346,ZAI,136
347,ZAM,68
348,ZIM,63
