,accepted_species_w_author,Genus,example_metabolite_name,InChIKey,SMILES,InChIKey_simp,active_chembl_compound,mean_ic50_μM,lipinski_pass,veber_pass,MAIP_model_score,classyfire_kingdom,classyfire_superclass,classyfire_class,classyfire_subclass,classyfire_direct_parent,classyfire_intermediate_nodes,classyfire_alternative_parents,substituents,NPclassif_class_results,NPclassif_superclass_results,NPclassif_pathway_results,accepted_species,accepted_family,alkaloid,steroid,quinoline
count,13611,13611,13611,13611,13611,13611,718.0,718.0,13611.0,13611.0,13401.0,13611,13611,13567,9265,13611,2010,13611,13611,12978,13118,13454,13611,13611,13611.0,13611.0,13611.0
unique,1103,271,7940,7750,7029,6435,,,,,,2,18,153,194,520,78,4901,5143,340,91,18,1103,3,,,
top,Coffea arabica L.,Tabernaemontana,beta-sitosterol,KZJWDPNRJALLNS-VJSFXXLFSA-N,CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C,KZJWDPNRJALLNS,,,,,,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides,Triterpenoids,Glycosyl compounds,"['Straight chain fatty acids', 'Monocarboxylic acids and derivatives', 'Carboxylic acids', 'Organic oxides', 'Hydrocarbon derivatives', 'Carbonyl compounds']","['Long-chain fatty acid', 'Unsaturated fatty acid', 'Straight chain fatty acid', 'Monocarboxylic acid or derivatives', 'Carboxylic acid', 'Carboxylic acid derivative', 'Organic oxygen compound', 'Organic oxide', 'Hydrocarbon derivative', 'Organooxygen compound', 'Carbonyl group', 'Aliphatic acyclic compound']",Corynanthe type,Tryptophan alkaloids,Alkaloids,Coffea arabica,Apocynaceae,,,
freq,282,1144,67,77,68,114,,,,,,13597,4635,2173,967,826,404,168,152,1520,4931,5379,282,7875,,,
mean,,,,,,,0.27298050139275765,18.400061703350506,0.7592388509293954,0.6981852913085005,29.216871616965424,,,,,,,,,,,,,,0.40988906031885974,0.20057306590257878,0.028432885166409523
std,,,,,,,0.44580146078334953,20.5689950667938,0.42756128112584535,0.45906216706735165,20.8425666995241,,,,,,,,,,,,,,0.49183105918338366,0.40044386927302456,0.16621217141081804
min,,,,,,,0.0,0.001,0.0,0.0,-13.795550620562624,,,,,,,,,,,,,,0.0,0.0,0.0
25%,,,,,,,0.0,1.6262541293560295,1.0,0.0,14.416405031686775,,,,,,,,,,,,,,0.0,0.0,0.0
50%,,,,,,,0.0,10.13850772431809,1.0,1.0,23.93969714323275,,,,,,,,,,,,,,0.0,0.0,0.0
75%,,,,,,,1.0,26.15827947393109,1.0,1.0,40.27275938574452,,,,,,,,,,,,,,1.0,0.0,0.0
max,,,,,,,1.0,100.0,1.0,1.0,146.92980008844697,,,,,,,,,,,,,,1.0,1.0,1.0
