,accepted_species_w_author,Genus,Metabolite,InChIKey,SMILES,classyfire_kingdom,classyfire_superclass,classyfire_class,classyfire_subclass,classyfire_direct_parent,classyfire_intermediate_nodes,classyfire_alternative_parents,substituents,NPclassif_class_results,NPclassif_superclass_results,NPclassif_pathway_results,accepted_species,accepted_family,Lipids_and_lipid-like_molecules,Organic_oxygen_compounds,Benzenoids,Organoheterocyclic_compounds,Phenylpropanoids_and_polyketides,Alkaloids_and_derivatives,Organic_acids_and_derivatives,"Lignans,_neolignans_and_related_compounds",Hydrocarbons,Homogeneous_metal_compounds,"Nucleosides,_nucleotides,_and_analogues",Organic_nitrogen_compounds,Mixed_metalnon-metal_compounds,Organohalogen_compounds,Organosulfur_compounds,Homogeneous_non-metal_compounds,Organic_Polymers,Hydrocarbon_derivatives
count,10654,11061,11061,11061,11061,11061,11061,11031,8115,11061,1940,11061,11061,10480,10621,10899,10654,11061,11061.0,11061.0,11061.0,11061.0,11061.0,11061.0,11061.0,11061.0,11061.0,11061.0,11061.0,11061.0,11061.0,11061.0,11061.0,11061.0,11061.0,11061.0
unique,929,275,7988,7801,7419,2,18,155,197,525,78,4995,5248,348,94,18,929,3,,,,,,,,,,,,,,,,,,
top,Catharanthus roseus (L.) G.Don,Strychnos,ursolic acid,KZJWDPNRJALLNS-VJSFXXLFSA-N,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,Organic compounds,Lipids_and_lipid-like_molecules,Prenol lipids,Terpene glycosides,Triterpenoids,Glycosyl compounds,"['Secondary alcohols', 'Cyclic alcohols and derivatives', 'Monocarboxylic acids and derivatives', 'Carboxylic acids', 'Organic oxides', 'Hydrocarbon derivatives', 'Carbonyl compounds']","['Triterpenoid', 'Cyclic alcohol', 'Secondary alcohol', 'Monocarboxylic acid or derivatives', 'Carboxylic acid', 'Carboxylic acid derivative', 'Organic oxygen compound', 'Organic oxide', 'Hydrocarbon derivative', 'Organooxygen compound', 'Carbonyl group', 'Alcohol', 'Aliphatic homopolycyclic compound']",Corynanthe type,Tryptophan alkaloids,Terpenoids,Catharanthus roseus,Apocynaceae,,,,,,,,,,,,,,,,,,
freq,323,557,48,55,54,11054,4084,2099,905,790,372,124,123,1063,3385,4174,323,6077,,,,,,,,,,,,,,,,,,
mean,,,,,,,,,,,,,,,,,,,0.369225205677606,0.08010125666757074,0.07756983997830215,0.12910225115269866,0.08986529246903535,0.20730494530331797,0.01907603290841696,0.01961847934183166,0.0030738631226833015,9.040773890245005e-05,0.0016273393002441008,0.0009944851279269505,0.0001808154778049001,0.0008136696501220504,0.0005424464334147003,0.0003616309556098002,0.0003616309556098002,9.040773890245005e-05
std,,,,,,,,,,,,,,,,,,,0.48261683647698617,0.2714621661456916,0.26750556893674476,0.33532823591301947,0.2860016027101647,0.40539420687449934,0.13679850054707482,0.13869150526678478,0.05535965642975654,0.009508298423085492,0.0403092788942258,0.0315211985038147,0.013446156670526843,0.028514576985225894,0.02328521428861031,0.019014017566798474,0.019014017566798474,0.009508298423085492
min,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
