,accepted_species,Animal Richness,Bio1,Assigned_group,number_of_species_in_group
0,Hoodia gordonii,375.53814223186697,19.1728744506836,0,67
0,Hoodia gordonii,375.53814223186697,19.1728744506836,10,40
0,Hoodia gordonii,375.53814223186697,19.1728744506836,17,37
0,Hoodia gordonii,375.53814223186697,19.1728744506836,20,70
0,Hoodia gordonii,375.53814223186697,19.1728744506836,27,73
0,Hoodia gordonii,375.53814223186697,19.1728744506836,101,66
0,Hoodia gordonii,375.53814223186697,19.1728744506836,104,58
0,Hoodia gordonii,375.53814223186697,19.1728744506836,178,35
0,Hoodia gordonii,375.53814223186697,19.1728744506836,247,65
0,Hoodia gordonii,375.53814223186697,19.1728744506836,249,54
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,12,10
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,39,53
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,46,64
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,105,83
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,119,38
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,126,45
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,148,51
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,185,76
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,193,83
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,240,44
2,Isertia pittieri,753.062548829559,25.1087493896484,33,71
2,Isertia pittieri,753.062548829559,25.1087493896484,38,74
2,Isertia pittieri,753.062548829559,25.1087493896484,39,53
2,Isertia pittieri,753.062548829559,25.1087493896484,55,38
2,Isertia pittieri,753.062548829559,25.1087493896484,108,51
2,Isertia pittieri,753.062548829559,25.1087493896484,136,17
2,Isertia pittieri,753.062548829559,25.1087493896484,189,33
2,Isertia pittieri,753.062548829559,25.1087493896484,190,76
2,Isertia pittieri,753.062548829559,25.1087493896484,233,30
2,Isertia pittieri,753.062548829559,25.1087493896484,240,44
