,accepted_species,Animal Richness,Bio1,Assigned_group,number_of_species_in_group
0,Hoodia gordonii,375.53814223186697,19.1728744506836,18,91
0,Hoodia gordonii,375.53814223186697,19.1728744506836,22,170
0,Hoodia gordonii,375.53814223186697,19.1728744506836,23,208
0,Hoodia gordonii,375.53814223186697,19.1728744506836,29,157
0,Hoodia gordonii,375.53814223186697,19.1728744506836,31,141
0,Hoodia gordonii,375.53814223186697,19.1728744506836,55,183
0,Hoodia gordonii,375.53814223186697,19.1728744506836,77,104
0,Hoodia gordonii,375.53814223186697,19.1728744506836,106,178
0,Hoodia gordonii,375.53814223186697,19.1728744506836,114,121
0,Hoodia gordonii,375.53814223186697,19.1728744506836,115,74
0,Hoodia gordonii,375.53814223186697,19.1728744506836,126,102
0,Hoodia gordonii,375.53814223186697,19.1728744506836,131,221
0,Hoodia gordonii,375.53814223186697,19.1728744506836,132,159
0,Hoodia gordonii,375.53814223186697,19.1728744506836,135,155
0,Hoodia gordonii,375.53814223186697,19.1728744506836,142,204
0,Hoodia gordonii,375.53814223186697,19.1728744506836,146,38
0,Hoodia gordonii,375.53814223186697,19.1728744506836,148,145
0,Hoodia gordonii,375.53814223186697,19.1728744506836,149,206
0,Hoodia gordonii,375.53814223186697,19.1728744506836,159,93
0,Hoodia gordonii,375.53814223186697,19.1728744506836,163,183
0,Hoodia gordonii,375.53814223186697,19.1728744506836,164,67
0,Hoodia gordonii,375.53814223186697,19.1728744506836,173,171
0,Hoodia gordonii,375.53814223186697,19.1728744506836,190,171
0,Hoodia gordonii,375.53814223186697,19.1728744506836,193,189
0,Hoodia gordonii,375.53814223186697,19.1728744506836,200,137
0,Hoodia gordonii,375.53814223186697,19.1728744506836,204,162
0,Hoodia gordonii,375.53814223186697,19.1728744506836,205,119
0,Hoodia gordonii,375.53814223186697,19.1728744506836,229,43
0,Hoodia gordonii,375.53814223186697,19.1728744506836,257,219
0,Hoodia gordonii,375.53814223186697,19.1728744506836,258,208
0,Hoodia gordonii,375.53814223186697,19.1728744506836,275,121
0,Hoodia gordonii,375.53814223186697,19.1728744506836,287,75
0,Hoodia gordonii,375.53814223186697,19.1728744506836,296,200
0,Hoodia gordonii,375.53814223186697,19.1728744506836,306,96
0,Hoodia gordonii,375.53814223186697,19.1728744506836,309,60
0,Hoodia gordonii,375.53814223186697,19.1728744506836,321,114
0,Hoodia gordonii,375.53814223186697,19.1728744506836,323,151
0,Hoodia gordonii,375.53814223186697,19.1728744506836,324,146
0,Hoodia gordonii,375.53814223186697,19.1728744506836,331,119
0,Hoodia gordonii,375.53814223186697,19.1728744506836,347,186
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,9,176
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,18,91
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,42,114
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,44,185
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,55,183
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,82,196
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,115,74
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,142,204
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,148,145
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,154,219
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,165,187
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,196,204
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,202,214
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,210,161
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,212,203
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,226,176
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,230,105
1,Rauvolfia semperflorens,156.882352941176,23.2912502288818,231,139
