,accepted_species,Assigned_group,Animal Richness,Bio1,number_of_species_in_group
0,Hoodia gordonii,CPP,375.53814223186697,19.1728744506836,33
0,Hoodia gordonii,NAM,375.53814223186697,19.1728744506836,20
0,Hoodia gordonii,OFS,375.53814223186697,19.1728744506836,12
1,Rauvolfia semperflorens,NWC,156.882352941176,23.2912502288818,49
2,Isertia pittieri,CLM,753.062548829559,25.1087493896484,138
2,Isertia pittieri,ECU,753.062548829559,25.1087493896484,90
3,Hoppea fastigiata,IND,425.195007966012,,142
3,Hoppea fastigiata,SRL,425.195007966012,,92
4,Rosenbergiodendron longiflorum,BOL,768.9857732833278,25.37212562561035,122
4,Rosenbergiodendron longiflorum,BZC,768.9857732833278,25.37212562561035,97
4,Rosenbergiodendron longiflorum,BZE,768.9857732833278,25.37212562561035,101
4,Rosenbergiodendron longiflorum,BZN,768.9857732833278,25.37212562561035,145
4,Rosenbergiodendron longiflorum,CLM,768.9857732833278,25.37212562561035,138
4,Rosenbergiodendron longiflorum,ECU,768.9857732833278,25.37212562561035,90
4,Rosenbergiodendron longiflorum,FRG,768.9857732833278,25.37212562561035,85
4,Rosenbergiodendron longiflorum,GUY,768.9857732833278,25.37212562561035,84
4,Rosenbergiodendron longiflorum,PER,768.9857732833278,25.37212562561035,121
4,Rosenbergiodendron longiflorum,SUR,768.9857732833278,25.37212562561035,77
4,Rosenbergiodendron longiflorum,VEN,768.9857732833278,25.37212562561035,116
5,Gentianopsis simplex,CAL,256.6851835269742,6.50950002670288,24
5,Gentianopsis simplex,IDA,256.6851835269742,6.50950002670288,15
5,Gentianopsis simplex,MNT,256.6851835269742,6.50950002670288,16
5,Gentianopsis simplex,NEV,256.6851835269742,6.50950002670288,20
5,Gentianopsis simplex,ORE,256.6851835269742,6.50950002670288,13
5,Gentianopsis simplex,WYO,256.6851835269742,6.50950002670288,15
6,Pauridiantha liebrechtsiana,CAF,580.0253664148486,25.1245002746582,95
6,Pauridiantha liebrechtsiana,CON,580.0253664148486,25.1245002746582,102
6,Pauridiantha liebrechtsiana,GAB,580.0253664148486,25.1245002746582,99
6,Pauridiantha liebrechtsiana,ZAI,580.0253664148486,25.1245002746582,136
7,Aidia canthioides,CHC,483.0162303160816,22.1282501220703,226
7,Aidia canthioides,CHH,483.0162303160816,22.1282501220703,84
7,Aidia canthioides,CHS,483.0162303160816,22.1282501220703,179
7,Aidia canthioides,NNS,483.0162303160816,22.1282501220703,47
7,Aidia canthioides,TAI,483.0162303160816,22.1282501220703,89
7,Aidia canthioides,VIE,483.0162303160816,22.1282501220703,201
8,Morinda elliptica,MLY,679.0759137574586,26.939374923706048,152
8,Morinda elliptica,MYA,679.0759137574586,26.939374923706048,174
8,Morinda elliptica,THA,679.0759137574586,26.939374923706048,205
9,Gentianella selaginifolia,CLM,753.062548829559,6.08249998092651,138
9,Gentianella selaginifolia,ECU,753.062548829559,6.08249998092651,90
