,Genus,num_species_in_data,FAD,MFAD,APWD,N,MFAD_minmax,APWD_minmax,FAD_minmax,H,Hbc,G,J,H_minmax,Hbc_minmax,G_minmax,J_minmax
0,Acokanthera,4.0,179.55340319447822,8.550162056879916,0.8550162056879915,21.0,0.0388338089457861,0.8992411818442669,0.001565278287642,1.0861895081867026,1.4030271981873292,0.495274102079395,0.6062139069674717,0.6144674296320977,0.7937053850084425,0.6103937547374368,0.6062139069674717
1,Adenium,2.0,157.88510620512528,5.444314007073285,0.3888795719338061,29.0,0.0247274202038578,0.408994032551072,0.0013763823146101,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
2,Adina,6.0,5882.601818908826,47.44033724926473,0.77138759754902,124.0,0.215468312858375,0.8112869560429348,0.0512822855939318,1.056717340321649,1.1009305081382543,0.612096,0.6565753994967588,0.5977947522611317,0.6228065100650625,0.7543692959739554,0.6565753994967588
3,Afrocanthium,1.0,,,,,,,,,,,,,,,
4,Aganosma,1.0,54.35948221052677,4.1814986315789815,0.696916438596497,13.0,0.0189918644682461,0.7329638405928676,0.0004738852938333,0.6172417697303416,0.6203112195798863,0.4260355029585799,0.8904916402194913,0.3491793658925468,0.3509157598639605,0.52506159561045,0.8904916402194913
5,Aidia,1.0,5.994266898001324,1.1988533796002647,0.5994266898001324,5.0,0.0054450480339077,0.6304315185828978,5.225573928894205e-05,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
6,Alafia,1.0,84.88363834264499,4.993155196626176,0.624144399578272,17.0,0.0226783110837548,0.6564277305909412,0.0007399832791244,0.4659992569610425,0.4777138462074574,0.2906574394463668,0.6722948170756379,0.2636200805450062,0.2702471147514623,0.3582167633259298,0.6722948170756379
7,Alberta,1.0,7.430823754525796,1.4861647509051592,0.7430823754525796,5.0,0.0067499817681436,0.7815176707346095,6.477909566356646e-05,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
8,Alibertia,1.0,121.93887306347908,6.096943653173954,0.6417835424393635,20.0,0.0276915856571472,0.674979242910365,0.0010630167238828,0.1985152433458726,0.3252127326074071,0.095,0.2863969571159562,0.1123019053324916,0.1839758327403042,0.1170814432989691,0.2863969571159562
9,Allamanda,3.0,1384.619919131222,23.076998652187036,0.7822711407521028,60.0,0.1048129556772659,0.8227334411358322,0.0120705899052513,1.0717834050802586,1.0717834455699005,0.6494444444444445,0.9755792977517328,0.6063177641454467,0.6063177488011546,0.8003988726110809,0.9755792977517328
10,Alstonia,30.0,80595.95505799874,181.11450574831176,0.8158311069743773,445.0,0.8226003281284017,0.8580292676799486,0.7026048867891338,0.4651103295183986,0.4797544964081303,0.2082868303571428,0.2595830174229705,0.2631172060864573,0.2714015293310836,0.256700239140861,0.2595830174229705
11,Alyxia,3.0,65.82680680684561,5.063600523603508,0.8439334206005847,13.0,0.0229982652964074,0.8875851492523391,0.0005738530688163,0.666278442414676,0.6669479255888184,0.4733727810650887,0.961236604722876,0.3769198642079423,0.377298573216523,0.5834017729004998,0.961236604722876
12,Amaioua,1.0,,,,,,,,,,,,,,,
13,Amalocalyx,1.0,1.0853878289819237,0.3617959429939745,0.3617959429939745,3.0,0.0016432337111415,0.3805095262522835,9.461998336707646e-06,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0
14,Amsonia,6.0,1171.0173657440569,21.68550677303809,0.8183210103033242,54.0,0.0984929667197465,0.8606479591121168,0.0102084840745994,1.0098709337000304,1.017897742834749,0.5401652892561983,0.7284678939934706,0.5712933076722025,0.575834111355558,0.6657192809065348,0.7284678939934706
15,Anodendron,2.0,1555.8504504320829,23.936160775878196,0.7480050242461935,65.0,0.1087151668333728,0.7866949392934104,0.0135633125607854,0.2164084047584739,0.2823315789161995,0.0889940828402364,0.1969834189829009,0.1224242318863065,0.1597175698612535,0.1096795333052936,0.1969834189829009
16,Anthocleista,5.0,212.0609193664133,9.220039972452753,0.8381854520411592,23.0,0.0418763139670126,0.8815398719743226,0.0018486664515187,1.210869382492037,1.4601781678393717,0.5729166666666667,0.6757990697343524,0.6849999852440075,0.8260362139687686,0.7060832655091337,0.6757990697343524
17,Antonia,1.0,21.003634742940186,2.33373719366002,0.583434298415005,9.0,0.0105995539856866,0.6136119345399191,0.0001831017003285,0.6365141682948128,0.6463081169323078,0.4444444444444444,0.9182958340544894,0.3600819396326721,0.3656224437035803,0.5477494423343582,0.9182958340544894
18,Apocynum,4.0,990.1534398183531,20.20721305751741,0.8419672107298922,49.0,0.0917787342487849,0.8855172388710936,0.0086317811481582,1.0020954898852816,1.0515870003134684,0.5889212827988339,0.7228590968773462,0.5668946673437082,0.594892434039781,0.7258079345217663,0.7228590968773462
19,Apteranthes,1.0,,,,,,,,,,,,,,,
