,accepted_species,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_id,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,Genus
0,Hoodia gordonii,98342-1,Hoodia gordonii,Hoodia gordonii (Masson) Sweet ex Decne.,Apocynaceae,Species,Hoodia,Hoodia Sweet ex Decne.,506500,3425-1,Genus,506521,98342-1,Species,Accepted,Apocynaceae,,Hoodia,,gordonii,,,Masson,Sweet ex Decne.,A.P.de Candolle,Prodr., 8: 665,(1844),,Namibia to Free State,succulent subshrub or shrub,desert or dry shrubland,Hoodia gordonii,(Masson) Sweet ex Decne.,506521,512017,,,506500,98342-1,,Y,Hoodia gordonii (Masson) Sweet ex Decne.,98342-1,506521,Hoodia
1,Rauvolfia semperflorens,81646-1,Rauvolfia semperflorens,Rauvolfia semperflorens (Müll.Arg.) Schltr.,Apocynaceae,Species,Rauvolfia,Rauvolfia Plum. ex L.,176797,328992-2,Genus,176963,81646-1,Species,Accepted,Apocynaceae,,Rauvolfia,,semperflorens,,,Müll.Arg.,Schltr.,,Bot. Jahrb. Syst., 39: 240,(1906),,New Caledonia,shrub,wet tropical,Rauvolfia semperflorens,(Müll.Arg.) Schltr.,176963,98912,,,176797,81646-1,,Y,Rauvolfia semperflorens (Müll.Arg.) Schltr.,81646-1,176963,Rauvolfia
2,Isertia pittieri,130336-2,Isertia pittieri,Isertia pittieri (Standl.) Standl.,Rubiaceae,Species,Isertia,Isertia Schreb.,102777,34762-1,Genus,102809,130336-2,Species,Accepted,Rubiaceae,,Isertia,,pittieri,,,Standl.,Standl.,,"Publ. Field Mus. Nat. Hist., Bot. Ser.", 8: 346,(1931),,Colombia to Ecuador,tree,wet tropical,Isertia pittieri,(Standl.) Standl.,102809,34913,,,102777,130336-2,,Y,Isertia pittieri (Standl.) Standl.,130336-2,102809,Isertia
3,Hoppea fastigiata,1163811-2,Hoppea fastigiata,Hoppea fastigiata (Griseb.) C.B.Clarke,Gentianaceae,Species,Hoppea,Hoppea Willd.,2853305,326966-2,Genus,2853309,1163811-2,Species,Accepted,Gentianaceae,,Hoppea,,fastigiata,,,Griseb.,C.B.Clarke,J.D.Hooker,Fl. Brit. India, 4: 100,(1883),,"India, Sri Lanka",annual,seasonally dry tropical,Hoppea fastigiata,(Griseb.) C.B.Clarke,2853309,2720526,,,2853305,1163811-2,,N,Hoppea fastigiata (Griseb.) C.B.Clarke,1163811-2,2853309,Hoppea
4,Rosenbergiodendron longiflorum,222509-2,Rosenbergiodendron longiflorum,Rosenbergiodendron longiflorum (Ruiz & Pav.) Fagerl.,Rubiaceae,Species,Rosenbergiodendron,Rosenbergiodendron Fagerl.,179848,296286-2,Genus,179853,222509-2,Species,Accepted,Rubiaceae,,Rosenbergiodendron,,longiflorum,,,Ruiz & Pav.,Fagerl.,,Svensk Bot. Tidskr., 42: 152,(1948),,S. Trop. America,shrub or tree,wet tropical,Rosenbergiodendron longiflorum,(Ruiz & Pav.) Fagerl.,179853,88300,,,179848,222509-2,,Y,Rosenbergiodendron longiflorum (Ruiz & Pav.) Fagerl.,222509-2,179853,Rosenbergiodendron
5,Gentianopsis simplex,108769-2,Gentianopsis simplex,Gentianopsis simplex (A.Gray) Iltis,Gentianaceae,Species,Gentianopsis,Gentianopsis Ma,2822413,295836-2,Genus,2822455,108769-2,Species,Accepted,Gentianaceae,,Gentianopsis,,simplex,,,A.Gray,Iltis,,Sida, 2: 136,(1965),,W. U.S.A.,annual,temperate,Gentianopsis simplex,(A.Gray) Iltis,2822455,2821550,,,2822413,108769-2,,N,Gentianopsis simplex (A.Gray) Iltis,108769-2,2822455,Gentianopsis
6,Pauridiantha liebrechtsiana,20010478-1,Pauridiantha liebrechtsiana,Pauridiantha liebrechtsiana (De Wild. & T.Durand) Ntore & Dessein,Rubiaceae,Species,Pauridiantha,Pauridiantha Hook.f.,148123,35073-1,Genus,216692,20010478-1,Species,Accepted,Rubiaceae,,Pauridiantha,,liebrechtsiana,,,De Wild. & T.Durand,Ntore & Dessein,,Bot. J. Linn. Soc., 141: 113,(2003),,WC. Trop. Africa,shrub or tree,wet tropical,Pauridiantha liebrechtsiana,(De Wild. & T.Durand) Ntore & Dessein,216692,211107,,,148123,20010478-1,,Y,Pauridiantha liebrechtsiana (De Wild. & T.Durand) Ntore & Dessein,20010478-1,216692,Pauridiantha
7,Aidia canthioides,742956-1,Aidia canthioides,Aidia canthioides (Champ. ex Benth.) Masam.,Rubiaceae,Species,Aidia,Aidia Lour.,4993,327845-2,Genus,5007,742956-1,Species,Accepted,Rubiaceae,,Aidia,,canthioides,,,Champ. ex Benth.,Masam.,,Trans. Nat. Hist. Soc. Formosa, 28: 118,(1938),,"S. China to Vietnam, Nansei-shoto to N. Taiwan",shrub or tree,subtropical,Aidia canthioides,(Champ. ex Benth.) Masam.,5007,176206,,,4993,742956-1,,Y,Aidia canthioides (Champ. ex Benth.) Masam.,742956-1,5007,Aidia
8,Morinda elliptica,756371-1,Morinda elliptica,Morinda elliptica (Hook.f.) Ridl.,Rubiaceae,Species,Morinda,Morinda L.,129750,34941-1,Genus,129810,756371-1,Species,Accepted,Rubiaceae,,Morinda,,elliptica,,,Hook.f.,Ridl.,,J. Straits Branch Roy. Asiat. Soc., 79: 86,(1918),,Myanmar to Malaya,tree,wet tropical,Morinda elliptica,(Hook.f.) Ridl.,129810,129791,,,129750,756371-1,,Y,Morinda elliptica (Hook.f.) Ridl.,756371-1,129810,Morinda
9,Gentianella selaginifolia,108732-2,Gentianella selaginifolia,Gentianella selaginifolia (Griseb.) Fabris,Gentianaceae,Species,Gentianella,Gentianella Moench,2821875,331622-2,Genus,2822282,108732-2,Species,Accepted,Gentianaceae,,Gentianella,,selaginifolia,,,Griseb.,Fabris,,Bol. Soc. Argent. Bot., 8: 25,(1959),,Colombia to Ecuador,,subalpine or subarctic,Gentianella selaginifolia,(Griseb.) Fabris,2822282,2821508,,,2821875,108732-2,,N,Gentianella selaginifolia (Griseb.) Fabris,108732-2,2822282,Gentianella
