,accepted_species,accepted_species_w_author,native_tdwg3_codes,intro_tdwg3_codes
0,Achilleanthus glabrescens,"Achilleanthus glabrescens (Schltr.) J.G.Chavez, Liede & Meve","('NWC',)",
1,Achilleanthus hypolasius,Achilleanthus hypolasius (Baill.) J.G.Chavez,"('NWC',)",
2,Achilleanthus megacarpus,Achilleanthus megacarpus (Merr. & L.M.Perry) J.G.Chavez,"('NWG', 'SCZ', 'SOL')",
3,Achilleanthus ngoyensis,"Achilleanthus ngoyensis (Schltr.) J.G.Chavez, Liede & Meve","('NWC',)",
4,Achilleanthus novobrittaniensis,Achilleanthus novobrittaniensis (M.E.Jansen) J.G.Chavez,"('BIS',)",
5,Achilleanthus schmutzii,Achilleanthus schmutzii (M.E.Jansen) J.G.Chavez,"('LSI',)",
6,Achilleanthus smithii,Achilleanthus smithii (Fosberg) J.G.Chavez,"('FIJ',)",
7,Acokanthera laevigata,Acokanthera laevigata Kupicha,"('MLW', 'TAN')",
8,Acokanthera oblongifolia,Acokanthera oblongifolia (Hochst.) Benth. & Hook.f. ex B.D.Jacks.,"('CPP', 'MOZ', 'NAT')",
9,Acokanthera oppositifolia,Acokanthera oppositifolia (Lam.) Codd,"('CPP', 'KEN', 'MLW', 'MOZ', 'NAT', 'SWZ', 'TAN', 'TVL', 'ZAI', 'ZAM', 'ZIM')",
10,Acokanthera rotundata,Acokanthera rotundata (Codd) Kupicha,"('NAT', 'SWZ', 'TVL', 'ZIM')",
11,Acokanthera schimperi,Acokanthera schimperi (A.DC.) Schweinf.,"('DJI', 'ERI', 'ETH', 'KEN', 'RWA', 'SOC', 'SOM', 'TAN', 'UGA', 'YEM', 'ZAI')",
12,Acranthera abbreviata,Acranthera abbreviata Valeton,"('BOR',)",
13,Acranthera anamallica,Acranthera anamallica Bedd.,"('IND',)",
14,Acranthera athroophlebia,Acranthera athroophlebia Bremek.,"('BOR',)",
15,Acranthera atropella,Acranthera atropella Stapf,"('BOR',)",
16,Acranthera aurantiaca,Acranthera aurantiaca Valeton ex Bremek.,"('BOR',)",
17,Acranthera axilliflora,Acranthera axilliflora Valeton,"('BOR',)",
18,Acranthera bullata,Acranthera bullata Merr.,"('BOR',)",
19,Acranthera burmanica,Acranthera burmanica Y.H.Tan & B.Yang,"('MYA',)",
20,Acranthera capitata,Acranthera capitata Valeton,"('BOR',)",
21,Acranthera ceylanica,Acranthera ceylanica Arn. ex Meisn.,"('SRL',)",
22,Acranthera collina,Acranthera collina C.W.Lin & C.H.Lee,"('BOR',)",
23,Acranthera didymocarpa,Acranthera didymocarpa (Ridl.) K.M.Wong,"('MLY',)",
24,Acranthera endertii,Acranthera endertii Bremek.,"('BOR',)",
25,Acranthera frutescens,Acranthera frutescens Valeton,"('BOR',)",
26,Acranthera grandiflora,Acranthera grandiflora Bedd.,"('IND',)",
27,Acranthera hallieri,Acranthera hallieri Valeton,"('BOR',)",
28,Acranthera hirtostipula,Acranthera hirtostipula Valeton,"('BOR',)",
29,Acranthera hoangii,Acranthera hoangii Hareesh & T.A.Le,"('VIE',)",
30,Acranthera involucrata,Acranthera involucrata Valeton,"('BOR',)",
31,Acranthera johannis-winkleri,Acranthera johannis-winkleri Merr.,"('BOR',)",
32,Acranthera lanceolata,Acranthera lanceolata Valeton,"('BOR',)",
33,Acranthera longipes,Acranthera longipes Merr.,"('SUM',)",
34,Acranthera longipetiolata,Acranthera longipetiolata Merr. ex Bremek.,"('BOR',)",
35,Acranthera maculata,Acranthera maculata Valeton,"('BOR',)",
36,Acranthera megaphylla,Acranthera megaphylla Bremek.,"('BOR',)",
37,Acranthera monantha,Acranthera monantha Valeton,"('BOR',)",
38,Acranthera nieuwenhuisii,Acranthera nieuwenhuisii Valeton ex Bremek.,"('BOR',)",
39,Acranthera ophiorhizoides,Acranthera ophiorhizoides Valeton,"('BOR',)",
40,Acranthera parviflora,Acranthera parviflora Valeton,"('BOR',)",
41,Acranthera philippinensis,Acranthera philippinensis Merr.,"('PHI',)",
42,Acranthera ruttenii,Acranthera ruttenii Bremek.,"('BOR',)",
43,Acranthera salmonea,Acranthera salmonea Bremek.,"('BOR',)",
