,accepted_species_w_author,Genus,example_metabolite_name,InChIKey,SMILES,InChIKey_simp,active_chembl_compound,mean_ic50_μM,lipinski_pass,veber_pass,MAIP_model_score,classyfire_kingdom,classyfire_superclass,classyfire_class,classyfire_subclass,classyfire_direct_parent,classyfire_intermediate_nodes,classyfire_alternative_parents,substituents,NPclassif_class_results,NPclassif_superclass_results,NPclassif_pathway_results,accepted_species,accepted_family,alkaloid,steroid,terpenoid,peptide,lipid,polyketide,pyrrolizidine,quinoline
count,18652,18652,18652,18652,18652,18652,944.0,570.0,18652.0,18652.0,18436.0,18652,18652,18602,11865,18652,2710,18652,18652,17898,18088,18472,18652,18652,18652.0,18652.0,18652.0,18652.0,18652.0,18652.0,18652.0,18652.0
unique,1103,271,10017,9843,7307,6435,,,,,,2,18,153,194,520,78,4933,5180,340,91,18,1103,3,,,,,,,,
top,Catharanthus roseus (L.) G.Don,Tabernaemontana,voacangine,KZJWDPNRJALLNS-VJSFXXLFSA-N,CC1C2CN3CCC4(C3CC2C(=CO1)C(=O)OC)C5=CC=CC=C5NC4=O,MMAYTCMMKJYIAM,,,,,,Organic compounds,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides,Ibogan-type alkaloids,Cardenolides and derivatives,"['Pyrroloazepines', '3-alkylindoles', 'Piperidinecarboxylic acids', 'Anisoles', 'Alkyl aryl ethers', 'Azepines', 'Aralkylamines', 'Pyrroles', 'Methyl esters', 'Heteroaromatic compounds', 'Trialkylamines', 'Amino acids and derivatives', 'Monocarboxylic acids and derivatives', 'Azacyclic compounds', 'Carbonyl compounds', 'Hydrocarbon derivatives', 'Organic oxides', 'Organopnictogen compounds']","['Ibogan skeleton', 'Catharanthine skeleton', 'Pyrroloazepine', '3-alkylindole', 'Indole', 'Indole or derivatives', 'Piperidinecarboxylic acid', 'Anisole', 'Alkyl aryl ether', 'Azepine', 'Aralkylamine', 'Piperidine', 'Benzenoid', 'Methyl ester', 'Pyrrole', 'Heteroaromatic compound', 'Tertiary amine', 'Tertiary aliphatic amine', 'Amino acid or derivatives', 'Carboxylic acid ester', 'Organoheterocyclic compound', 'Carboxylic acid derivative', 'Monocarboxylic acid or derivatives', 'Azacycle', 'Ether', 'Amine', 'Organic oxide', 'Hydrocarbon derivative', 'Organonitrogen compound', 'Carbonyl group', 'Organopnictogen compound', 'Organic oxygen compound', 'Organooxygen compound', 'Organic nitrogen compound', 'Aromatic heteropolycyclic compound']",Corynanthe type,Tryptophan alkaloids,Alkaloids,Catharanthus roseus,Apocynaceae,,,,,,,,
freq,423,1928,135,85,109,162,,,,,,18638,6099,2848,1359,1019,579,247,247,2442,7749,8253,423,11127,,,,,,,,
mean,,,,,,,0.3019067796610169,18.54422910142628,0.7539137894059619,0.6993888054900279,31.342347156766028,,,,,,,,,,,,,,0.45646579455286296,0.19783401243834442,0.35347415826720996,0.01383229680463221,0.3270962899420974,0.11548359425262707,0.0020909285867467295,0.026431481878618913
std,,,,,,,0.4593283951006251,20.421003181145085,0.430740913876058,0.4585361237494305,21.351294062917603,,,,,,,,,,,,,,0.4981145204145331,0.3983769881134323,0.4780611160472402,0.11679767013740366,0.4691653314717108,0.3196132201201465,0.04568006652911044,0.16041894635074683
min,,,,,,,0.0,0.001,0.0,0.0,-13.795550620562624,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,,,,,,,0.0,1.6262541293560295,1.0,0.0,15.243126650608604,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,,,,,,,0.0,10.230345938339998,1.0,1.0,26.89566737160865,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,,,,,,,1.0,26.15827947393109,1.0,1.0,42.86352206960875,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
max,,,,,,,1.0,83.1763771102671,1.0,1.0,146.92980008844697,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
