"","Group","phylogenetic_diversity","group_age","number_of_species_in_data_and_tree"
"CPP","CPP",359.672588,67.727863,12
"KEN","KEN",627.501735,67.727863,31
"MLW","MLW",570.4173,67.727863,25
"MOZ","MOZ",625.355722,67.727863,28
"NAT","NAT",424.447471,67.727863,15
"SWZ","SWZ",379.483118,67.727863,13
"TAN","TAN",722.012894,67.727863,38
"TVL","TVL",517.576132,67.727863,20
"ZAI","ZAI",789.302184,67.727863,47
"ZAM","ZAM",553.371601,67.727863,23
"ZIM","ZIM",487.743805,67.727863,20
"DJI","DJI",199.0460145,67.727863,8
"ERI","ERI",284.254601,67.727863,11
"ETH","ETH",507.8924985,67.727863,22
"RWA","RWA",447.655126,67.727863,15
"SOC","SOC",223.103631,67.727863,8
"SOM","SOM",422.7035465,67.727863,16
"UGA","UGA",644.018519,67.727863,32
"YEM","YEM",174.2346245,30.894505,12
"BEN","BEN",706.1145945,67.727863,35
"BKN","BKN",591.0308215,67.727863,24
"BUR","BUR",455.986092,67.727863,15
"CHA","CHA",515.7618205,67.727863,21
"CMN","CMN",725.455315,67.727863,41
"GHA","GHA",664.755512,67.727863,35
"GNB","GNB",615.415825,67.727863,26
"GUI","GUI",693.013403,67.727863,37
"IVO","IVO",670.072478,67.727863,36
"MLI","MLI",534.3202195,67.727863,21
"MTN","MTN",218.1867685,67.727863,9
"NGA","NGA",734.5886875,67.727863,42
"NGR","NGR",288.5970085,67.727863,11
"OMA","OMA",277.0716735,67.727863,12
"SAU","SAU",294.0243535,67.727863,13
"SEN","SEN",589.899248,67.727863,26
"SUD","SUD",625.8751925,67.727863,30
"TOG","TOG",590.361846,67.727863,26
"ASS","ASS",957.309696,67.727863,57
"BAN","BAN",1171.69519,67.727863,81
"CBD","CBD",1128.216709,67.727863,79
"CHC","CHC",1033.979705,67.727863,72
"CHS","CHS",1030.640838,67.727863,69
"EHM","EHM",842.380494,67.727863,46
"IND","IND",1209.511021,67.727863,78
"LAO","LAO",990.007933,67.727863,62
"MLY","MLY",1281.437738,67.727863,80
"MYA","MYA",1289.785568,67.727863,88
"NEP","NEP",744.392081,67.727863,41
"SRL","SRL",1084.680979,67.727863,61
"THA","THA",1392.51798,67.727863,98
"VIE","VIE",1355.731439,67.727863,99
"CHH","CHH",836.013446,67.727863,38
"JAP","JAP",359.130389,67.727863,19
"CHN","CHN",335.124118,67.727863,17
"KOR","KOR",336.002793,67.727863,18
"BOR","BOR",1018.378464,67.727863,57
"JAW","JAW",1057.499967,67.727863,60
"MOL","MOL",659.37684,67.727863,28
"NWG","NWG",777.344117,67.727863,36
"PHI","PHI",939.231536,67.727863,48
"SUL","SUL",769.144879,67.727863,37
"SUM","SUM",1054.215074,67.727863,54
"BZE","BZE",703.3412705,67.727863,33
