Region,Study species,Species count,Compound count,High outlier for,Low outlier for
ALD,"Carissa spinarum L., Cynanchum viminale (L.) L., Guettarda speciosa L.",3,73,"APWD, APWD', FAD', MFAD'",
AZO,"Centaurium erythraea Rafn, Galium aparine L., Galium palustre L., Sherardia arvensis L., Vinca difformis Pourr.",5,89,"APWD, APWD', FAD', MFAD'",
COR,"Blackstonia perfoliata (L.) Huds., Centaurium erythraea Rafn, Centaurium pulchellum (Sw.) Hayek ex Hand.-Mazz., Stadlm., Janch. & Faltis, Crucianella maritima L., Cruciata glabra (L.) Opiz, Cruciata laevipes Opiz, Cruciata pedemontana (Bellardi) Ehrend., Galium album Mill., Galium aparine L., Galium mollugo L., Galium odoratum (L.) Scop., Galium palustre L., Galium spurium L., Galium tricornutum Dandy, Gentiana asclepiadea L., Gentiana lutea L., Nerium oleander L., Rubia peregrina L., Schenkia spicata (L.) G.Mans., Sherardia arvensis L., Vinca difformis Pourr., Vinca minor L., Vincetoxicum hirundinaria Medik.",23,433,APWD,
LDV,"Alstonia scholaris (L.) R.Br., Calotropis gigantea (L.) W.T.Aiton, Guettarda speciosa L., Leptadenia reticulata (Retz.) Wight & Arn., Leptopetalum biflorum (L.) Neupane & N.Wikstr., Morinda citrifolia L., Ochrosia oppositifolia (Lam.) K.Schum., Oldenlandia corymbosa L., Oldenlandia umbellata L., Pavetta indica L., Rauvolfia serpentina (L.) Benth. ex Kurz, Vincetoxicum indicum (Burm.f.) Mabb.",12,441,"APWD, APWD', H, H', Hbc, Hbc', MFAD'",
KZN,"Morinda citrifolia L., Scleromitrion verticillatum (L.) R.J.Wang",2,195,"APWD, APWD', FAD, FAD', G, H, H', Hbc, Hbc', MFAD, MFAD'",
ROD,"Carissa spinarum L., Cynanchum viminale (L.) L.",2,71,"APWD, APWD', FAD', H, Hbc, MFAD'",
SEY,"Carissa spinarum L., Cerbera manghas L., Cynanchum viminale (L.) L., Guettarda speciosa L., Ochrosia oppositifolia (Lam.) K.Schum., Tabernaemontana coffeoides Bojer ex A.DC.",6,185,"APWD, APWD', FAD', MFAD'",
AGS,"Asclepias mellodora A.St.-Hil., Centaurium cachanlahuen (Molina) B.L.Rob., Galium hypocarpium (L.) Endl. ex Griseb., Gentianella magellanica (Gaudich.) Fabris, Leptostigma arnottianum Walp.",5,9,,"APWD, APWD', FAD, FAD', MFAD, MFAD'"
CLS,"Centaurium cachanlahuen (Molina) B.L.Rob., Galium hypocarpium (L.) Endl. ex Griseb., Gentianella magellanica (Gaudich.) Fabris, Leptostigma arnottianum Walp.",4,8,,"APWD, APWD', FAD, FAD', MFAD, MFAD'"
MSO,"Amsonia ciliata Walter, Amsonia tabernaemontana Walter, Apocynum androsaemifolium L., Apocynum cannabinum L., Asclepias incarnata L., Asclepias syriaca L., Asclepias tuberosa L., Asclepias viridis Walter, Cephalanthus occidentalis L., Frasera caroliniensis Walter, Galium triflorum Michx., Gentiana andrewsii Griseb., Mitchella repens L.",13,233,,APWD
NZN,"Coprosma acerosa A.Cunn., Coprosma arborea Kirk, Coprosma areolata Cheeseman, Coprosma linariifolia (Hook.f.) Hook.f., Coprosma lucida J.R.Forst. & G.Forst., Coprosma propinqua A.Cunn., Coprosma repens A.Rich., Coprosma robusta Raoul, Coprosma rotundifolia A.Cunn., Coprosma tenuicaulis Hook.f., Coprosma tenuifolia Cheeseman, Gentianella bellidifolia (Hook.f.) Holub, Parsonsia heterophylla A.Cunn.",13,18,,"APWD, APWD', FAD, FAD', MFAD, MFAD'"
