,Species Count,Species,endemic_species,Compound count,highlight_metrics,lowlight_metrics
ALD,3,"Cynanchum viminale (L.) L., Guettarda speciosa L., Carissa spinarum L.",[],73,"APWD, APWD$'$, FAD$'$, MFAD$'$",
AZO,5,"Centaurium erythraea Rafn, Galium palustre L., Galium aparine L., Sherardia arvensis L., Vinca difformis Pourr.",[],89,"APWD, APWD$'$, FAD$'$, MFAD$'$",
COR,23,"Cruciata pedemontana (Bellardi) Ehrend., Centaurium erythraea Rafn, Cruciata glabra (L.) Opiz, Galium odoratum (L.) Scop., Cruciata laevipes Opiz, Schenkia spicata (L.) G.Mans., Blackstonia perfoliata (L.) Huds., Vincetoxicum hirundinaria Medik., Centaurium pulchellum (Sw.) Hayek ex Hand.-Mazz., Stadlm., Janch. & Faltis, Rubia peregrina L., Galium mollugo L., Galium palustre L., Galium album Mill., Galium spurium L., Galium tricornutum Dandy, Galium aparine L., Nerium oleander L., Sherardia arvensis L., Crucianella maritima L., Vinca minor L., Vinca difformis Pourr., Gentiana lutea L., Gentiana asclepiadea L.",[],433,APWD,
LDV,12,"Vincetoxicum indicum (Burm.f.) Mabb., Leptadenia reticulata (Retz.) Wight & Arn., Rauvolfia serpentina (L.) Benth. ex Kurz, Calotropis gigantea (L.) W.T.Aiton, Leptopetalum biflorum (L.) Neupane & N.Wikstr., Guettarda speciosa L., Alstonia scholaris (L.) R.Br., Ochrosia oppositifolia (Lam.) K.Schum., Morinda citrifolia L., Pavetta indica L., Oldenlandia corymbosa L., Oldenlandia umbellata L.",[],441,"APWD, APWD$'$, H, H$'$, Hbc, Hbc$'$, MFAD$'$",
KZN,2,"Scleromitrion verticillatum (L.) R.J.Wang, Morinda citrifolia L.",[],195,"APWD, APWD$'$, FAD, FAD$'$, G, H, H$'$, Hbc, Hbc$'$, MFAD, MFAD$'$",
ROD,2,"Cynanchum viminale (L.) L., Carissa spinarum L.",[],71,"APWD, APWD$'$, FAD$'$, H, Hbc, MFAD$'$",
SEY,6,"Cynanchum viminale (L.) L., Guettarda speciosa L., Cerbera manghas L., Tabernaemontana coffeoides Bojer ex A.DC., Ochrosia oppositifolia (Lam.) K.Schum., Carissa spinarum L.",[],185,"APWD, APWD$'$, FAD$'$, MFAD$'$",
AGS,5,"Galium hypocarpium (L.) Endl. ex Griseb., Centaurium cachanlahuen (Molina) B.L.Rob., Gentianella magellanica (Gaudich.) Fabris, Asclepias mellodora A.St.-Hil., Leptostigma arnottianum Walp.",[],9,,"APWD, APWD$'$, FAD, FAD$'$, MFAD, MFAD$'$"
CLS,4,"Galium hypocarpium (L.) Endl. ex Griseb., Centaurium cachanlahuen (Molina) B.L.Rob., Gentianella magellanica (Gaudich.) Fabris, Leptostigma arnottianum Walp.",[],8,,"APWD, APWD$'$, FAD, FAD$'$, MFAD, MFAD$'$"
MSO,13,"Asclepias tuberosa L., Asclepias incarnata L., Asclepias syriaca L., Asclepias viridis Walter, Frasera caroliniensis Walter, Apocynum androsaemifolium L., Apocynum cannabinum L., Galium triflorum Michx., Mitchella repens L., Amsonia ciliata Walter, Amsonia tabernaemontana Walter, Cephalanthus occidentalis L., Gentiana andrewsii Griseb.",[],233,,APWD
NZN,13,"Coprosma linariifolia (Hook.f.) Hook.f., Gentianella bellidifolia (Hook.f.) Holub, Coprosma repens A.Rich., Coprosma robusta Raoul, Coprosma tenuicaulis Hook.f., Coprosma lucida J.R.Forst. & G.Forst., Coprosma rotundifolia A.Cunn., Coprosma areolata Cheeseman, Coprosma propinqua A.Cunn., Coprosma arborea Kirk, Coprosma acerosa A.Cunn., Coprosma tenuifolia Cheeseman, Parsonsia heterophylla A.Cunn.","['Coprosma arborea', 'Coprosma tenuifolia']",18,,"APWD, APWD$'$, FAD, FAD$'$, MFAD, MFAD$'$"
