,accepted_family,Genus,Animal_Richness
0,Rubiaceae,Achilleanthus,243.007246306322
1,Apocynaceae,Acokanthera,505.9168625660908
2,Rubiaceae,Acranthera,570.4039167721368
3,Rubiaceae,Acrobotrys,749.043616177637
4,Rubiaceae,Acrosynanthus,249.398113207547
5,Rubiaceae,Acunaeanthus,271.396226415094
6,Loganiaceae,Adelphacme,254.085121602289
7,Apocynaceae,Adenium,452.63771606169536
8,Gentianaceae,Adenolisianthus,787.5820867523286
9,Rubiaceae,Adenorandia,612.6368572882426
10,Rubiaceae,Adina,494.55342941353496
11,Rubiaceae,Adolphoduckea,730.4741502100179
12,Rubiaceae,Afrocanthium,557.578871358952
13,Apocynaceae,Aganosma,559.1880927076791
14,Rubiaceae,Agathisanthemum,578.7745877292436
15,Rubiaceae,Agouticarpa,735.8104832327195
16,Rubiaceae,Aidia,481.10621765643856
17,Rubiaceae,Aidiopsis,559.003402881214
18,Rubiaceae,Airosperma,259.6209360115965
19,Rubiaceae,Aitchisonia,220.9371665645583
20,Apocynaceae,Alafia,547.6215388245799
21,Rubiaceae,Alberta,586.259615384615
22,Rubiaceae,Aleisanthia,776.6875
23,Rubiaceae,Aleisanthiopsis,618.769230769231
24,Rubiaceae,Alibertia,650.873976884146
25,Apocynaceae,Allamanda,708.1882604012511
26,Rubiaceae,Alleizettella,514.6227075335026
27,Apocynaceae,Allomarkgrafia,680.970123268374
28,Apocynaceae,Allowoodsonia,226.0
29,Rubiaceae,Alseis,700.8231193811574
30,Apocynaceae,Alstonia,483.1597341150775
31,Apocynaceae,Alyxia,382.68893292222896
32,Rubiaceae,Amaioua,661.4508732329601
33,Apocynaceae,Amalocalyx,612.7114912159931
34,Rubiaceae,Amaracarpus,402.5039955417571
35,Apocynaceae,Ambelania,793.0296724173202
36,Rubiaceae,Amphiasma,571.112840230966
37,Rubiaceae,Amphidasya,728.383260950391
38,Apocynaceae,Amphineurion,521.4334782914157
39,Rubiaceae,Amphistemon,216.717628705148
40,Apocynaceae,Amsonia,279.9746213948983
41,Apocynaceae,Ancylobothrys,541.4563452990024
42,Apocynaceae,Anechites,513.4937061714305
43,Apocynaceae,Anemotrochus,228.54153099730462
44,Apocynaceae,Angadenia,242.25544249775385
45,Apocynaceae,Anisopus,575.5306391913646
46,Apocynaceae,Anisotoma,481.36771366517905
47,Apocynaceae,Anodendron,458.50573888591947
48,Rubiaceae,Antherostele,418.758241758242
49,Gentianaceae,Anthocleista,552.7106468348743
50,Rubiaceae,Anthorrhiza,407.423690205011
51,Rubiaceae,Anthospermopsis,585.264757451783
52,Rubiaceae,Anthospermum,488.0457559357613
53,Rubiaceae,Antirhea,107.23920956838266
54,Loganiaceae,Antonia,770.5669292113193
55,Rubiaceae,Aoranthe,571.3719370753579
56,Rubiaceae,Aphanocarpus,747.619662363456
57,Apocynaceae,Apocynum,243.04837704773342
58,Rubiaceae,Appunia,702.3649950209771
59,Apocynaceae,Apteranthes,209.7792375816012
60,Rubiaceae,Arachnothryx,570.2546224503388
61,Apocynaceae,Araujia,497.69381362011035
62,Rubiaceae,Arcytophyllum,566.8406898862593
63,Rubiaceae,Argocoffeopsis,569.7048098287153
64,Rubiaceae,Argostemma,533.4034487754508
65,Gentianaceae,Aripuana,866.082981715893
66,Apocynaceae,Artia,156.882352941176
67,Apocynaceae,Asclepias,408.4144627644779
68,Apocynaceae,Asketanthera,242.60255166217436
69,Rubiaceae,Asperula,231.85671880564558
70,Apocynaceae,Aspidoglossum,532.892274783377
71,Apocynaceae,Aspidonepsis,481.36771366517905
72,Apocynaceae,Aspidosperma,598.8440041746186
73,Apocynaceae,Astephanus,355.45306122449
74,Apocynaceae,Asterostemma,547.347826086957
75,Rubiaceae,Astiella,216.717628705148
76,Apocynaceae,Atherandra,653.2827496682179
77,Rubiaceae,Atractocarpus,249.3831959017457
78,Rubiaceae,Atractogyne,591.8370442607534
79,Apocynaceae,Atrostemma,697.350742326686
80,Rubiaceae,Augusta,553.4093868360842
81,Rubiaceae,Aulacocalyx,577.6486101834316
