,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,native_tdwg3_codes,intro_tdwg3_codes
0,77219866-1,Achilleanthus,Achilleanthus J.G.Chavez,Rubiaceae,Genus,,,,,545872,77219866-1,Genus,Accepted,Rubiaceae,,Achilleanthus,,,,,,J.G.Chavez,,Bot. J. Linn. Soc., 197: 93,(2021),,Lesser Sunda Is. to SW. Pacific,,,Achilleanthus,J.G.Chavez,545872,,,,,77219866-1,,Y,,,,"('BIS', 'FIJ', 'LSI', 'NWC', 'NWG', 'SCZ', 'SOL')",
1,2171-1,Acokanthera,Acokanthera G.Don,Apocynaceae,Genus,,,,,2156,2171-1,Genus,Accepted,Apocynaceae,,Acokanthera,,,,,,G.Don,,Gen. Hist., 4: 485,(1838),,"Ethiopia to S. Africa, Arabian Pen.",,,Acokanthera,G.Don,2156,,,,,2171-1,,Y,,,,"('CPP', 'DJI', 'ERI', 'ETH', 'KEN', 'MLW', 'MOZ', 'NAT', 'RWA', 'SOC', 'SOM', 'SWZ', 'TAN', 'TVL', 'UGA', 'YEM', 'ZAI', 'ZAM', 'ZIM')",
2,331317-2,Acranthera,Acranthera Arn. ex Meisn.,Rubiaceae,Genus,,,,,2369,331317-2,Genus,Accepted,Rubiaceae,,Acranthera,,,,,,Arn. ex Meisn.,,Pl. Vasc. Gen.,: 162,(1840),,India to SC. China and C. Malesia,,,Acranthera,Arn. ex Meisn.,2369,,,,,331317-2,,Y,,,,"('ASS', 'BAN', 'BOR', 'CHC', 'IND', 'MLY', 'MYA', 'PHI', 'SRL', 'SUM', 'THA', 'VIE')",
3,295729-2,Acrobotrys,Acrobotrys K.Schum. & K.Krause,Rubiaceae,Genus,,,,,2450,295729-2,Genus,Accepted,Rubiaceae,,Acrobotrys,,,,,,K.Schum. & K.Krause,,Bot. Jahrb. Syst., 40: 316,(1908),,Colombia,,,Acrobotrys,K.Schum. & K.Krause,2450,,,,,295729-2,,Y,,,,"('CLM',)",
4,295733-2,Acrosynanthus,Acrosynanthus Urb.,Rubiaceae,Genus,,,,,2655,295733-2,Genus,Accepted,Rubiaceae,,Acrosynanthus,,,,,,Urb.,,Symb. Antill., 7: 514,(1913),,Caribbean,,,Acrosynanthus,Urb.,2655,,,,,295733-2,,Y,,,,"('CUB', 'JAM')",
5,298325-2,Acunaeanthus,"Acunaeanthus Borhidi, Komlódi & Moncada",Rubiaceae,Genus,,,,,2893,298325-2,Genus,Accepted,Rubiaceae,,Acunaeanthus,,,,,,"Borhidi, Komlódi & Moncada",,Acta Bot. Acad. Sci. Hung., 26: 282,(1980 publ. 1981),,Cuba,,,Acunaeanthus,"Borhidi, Komlódi & Moncada",2893,,,,,298325-2,,Y,,,,"('CUB',)",
6,77154428-1,Adelphacme,"Adelphacme K.L.Gibbons, B.J.Conn & Henwood",Loganiaceae,Genus,,,,,3008609,77154428-1,Genus,Accepted,Loganiaceae,,Adelphacme,,,,,,"K.L.Gibbons, B.J.Conn & Henwood",,Telopea, 15: 38,(2013),,SW. Australia,,,Adelphacme,"K.L.Gibbons, B.J.Conn & Henwood",3008609,,,,,77154428-1,,N,,,,"('WAU',)",
7,2172-1,Adenium,Adenium Roem. & Schult.,Apocynaceae,Genus,,,,,3018,2172-1,Genus,Accepted,Apocynaceae,,Adenium,,,,,,Roem. & Schult.,,"Syst. Veg., ed. 15[bis]."," 4: 35, 411",(1819),,"Trop. & S. Africa, Arabian Pen.",,,Adenium,Roem. & Schult.,3018,,,,,2172-1,,Y,,,,"('ANG', 'BEN', 'BKN', 'BOT', 'BUR', 'CHA', 'CMN', 'CPP', 'ETH', 'GHA', 'GNB', 'GUI', 'IVO', 'KEN', 'MLI', 'MLW', 'MOZ', 'MTN', 'NAM', 'NAT', 'NGA', 'NGR', 'OMA', 'SAU', 'SEN', 'SOC', 'SOM', 'SUD', 'SWZ', 'TAN', 'TOG', 'TVL', 'UGA', 'YEM', 'ZAM', 'ZIM')","('SCI',)"
8,295740-2,Adenolisianthus,Adenolisianthus (Spruce ex Progel) Gilg,Gentianaceae,Genus,,,,,2621805,295740-2,Genus,Accepted,Gentianaceae,,Adenolisianthus,,,,,Spruce ex Progel,Gilg,H.G.A.Engler & K.A.E.Prantl,Nat. Pflanzenfam., 4(2): 98,(1895),,Colombia to Venezuela (Amazonas) and N. Brazil,,,Adenolisianthus,(Spruce ex Progel) Gilg,2621805,,,,,295740-2,,N,,,,"('BZN', 'CLM', 'VEN')",
9,981077-1,Adenorandia,Adenorandia Vermoesen,Rubiaceae,Genus,,,,,3151,981077-1,Genus,Accepted,Rubiaceae,,Adenorandia,,,,,,Vermoesen,,Natuurw. Tijdschr., 4: 5,(1922),,W. & WC. Trop. Africa,,,Adenorandia,Vermoesen,3151,,,,,981077-1,,Y,,,,"('CAB', 'CMN', 'CON', 'GAB', 'IVO', 'NGA', 'ZAI')",
